id,jp,zh,notes,kind
menu_mission_fri01#0,たどるべき道を,一边高效选择,ram_1006_menu,text
menu_mission_fri01#1,姫効に選びつつ,该走的路，,ram_1006_menu,text
menu_mission_fri01#2,ボス星へ攻めこめ。,攻入头目星。,ram_1006_menu,text
menu_mission_fri02#0,プレートの動きを,一边预测,ram_1006_menu,text
menu_mission_fri02#1,映・しつつ,板块的移动，,ram_1006_menu,text
menu_mission_fri02#2,ボス星へ攻めこめ。,攻入头目星。,ram_1006_menu,text
menu_mission_fri03#0,況入を夢】して,破坏生产设施后,ram_1006_menu,text
menu_mission_fri03#1,ボス星へ攻めこめ。,攻入头目星。,ram_1006_menu,text
menu_mission_fri04#0,プレートの動きを,一边预测,ram_1006_menu,text
menu_mission_fri04#1,映・しつつ,板块的移动，,ram_1006_menu,text
menu_mission_fri04#2,ボス星へ攻めこめ。,攻入头目星。,ram_1006_menu,text
menu_mission_fri05#0,システム繰部の,一边预测系统各部的,ram_1006_menu,text
menu_mission_fri05#1,負敵を映・しつつ,负荷，,ram_1006_menu,text
menu_mission_fri05#2,3つすべて用壊せよ。,把三处全部破坏。,ram_1006_menu,text
menu_mission_fri06#0,敗力な将に,不要被强大的将军,ram_1006_menu,text
menu_mission_fri06#1,わされることなく,牵着走，,ram_1006_menu,text
menu_mission_fri06#2,号友大へ攻めこめ。,攻入巨大之门。,ram_1006_menu,text
fri_f01,「配プレート,生产板块,ram_974_weekday,text
fri_f01_help#0,反入体をわす役生けの,防着侵入体的,ram_974_weekday,text
fri_f01_help#1,施されたプレート,机关所施的板块,ram_974_weekday,text
fri_f02,連魔プレート,连魔板块,ram_974_weekday,text
fri_f02_help#0,星の消プレートを魔ぶ,魔着星的消板块,ram_974_weekday,text
fri_f02_help#1,効間装所となっている,成为有效据点,ram_974_weekday,text
fri_f03,空中況入造プレート,机械况入造板块,ram_974_weekday,text
fri_f03_help#0,この星の将を生み出す,产生这颗星的将,ram_974_weekday,text
fri_f03_help#1,夢人の況入が立ち知ぶ,无人的况入矗立着,ram_974_weekday,text
fri_f04,連魔プレート,连魔板块,ram_974_weekday,text
fri_f04_help#0,星の消大への来撃を。け,承受对星之消大的来击,ram_974_weekday,text
fri_f04_help#1,動復が不明定になった,动复变得不稳定,ram_974_weekday,text
fri_f05,改造システムプレート,改造系统板块,ram_974_weekday,text
fri_f05_help#0,星のシステムを改造する,改造星之系统的,ram_974_weekday,text
fri_f05_help#1,テクノロジーの集魔体,科技的集魔体,ram_974_weekday,text
fri_f06,生！体敗新プレート,生命体设施板块,ram_974_weekday,text
fri_f06_help#0,効逃な敗新を守るための,为守护有效的设施,ram_974_weekday,text
fri_f06_help#1,将が字備されている,将装备在此,ram_974_weekday,text
fri_f07,システムブレイクホール,系统破裂洞,ram_974_weekday,text
fri_f07_help#0,・大の熟の中に事く,事在·大之熟中的,ram_974_weekday,text
fri_f07_help#1,ダンジョンへの入択,迷宫的入口,ram_974_weekday,text
fri_f08,場・入,场所,ram_974_weekday,text
