id,jp,zh,notes,kind
menu_mission_wed01#0,の動きに（）し,一边应对对方的动向，,ram_1006_menu,text
menu_mission_wed01#1,新持の魔星を,攻陷新月的魔星。,ram_1006_menu,text
menu_mission_wed01#2,落とせ。,攻陷。,ram_1006_menu,text
menu_mission_wed02#0,使の揺れに（）し,一边应对海潮的摇摆，,ram_1006_menu,text
menu_mission_wed02#1,の魔星を落とせ。,攻陷敌方魔星。,ram_1006_menu,text
menu_mission_wed03#0,使の揺れと,一边应对海潮的摇摆,ram_1006_menu,text
menu_mission_wed03#1,の動きに（）し,和对方的动向，,ram_1006_menu,text
menu_mission_wed03#2,の魔星を落とせ。,攻陷敌方魔星。,ram_1006_menu,text
menu_mission_wed04#0,使の揺れに（）し,一边应对海潮的摇摆，,ram_1006_menu,text
menu_mission_wed04#1,の魔星を,攻陷两颗,ram_1006_menu,text
menu_mission_wed04#2,ふたつ落とせ。,魔星。,ram_1006_menu,text
menu_mission_wed05#0,ユニットを,一边巧妙更换小队，,ram_1006_menu,text
menu_mission_wed05#1,うまく入れかえつつ,返回,ram_1006_menu,text
menu_mission_wed05#2,本装地へ（かえ。,本据地。,ram_1006_menu,text
planet_03,星アクエリアス,星·宝瓶,ram_974_weekday,text
planet_03_help#0,状にあふれた,充满状的,ram_974_weekday,text
planet_03_help#1,終好力「の星,终好力「的星,ram_974_weekday,text
planet_03_help#2,不思半な力が感じられる,能感到不可思议的力量,ram_974_weekday,text
planet_03_star,・・,··,ram_974_weekday,text
wed_f01,、された逃地,被留下的大地,ram_974_weekday,text
wed_f01_help#0,状不からまぬがれ,从状不中幸免,ram_974_weekday,text
wed_f01_help#1,かろうじて、っている,勉强存在着,ram_974_weekday,text
wed_f02,逃一,大树,ram_974_weekday,text
wed_f02_help#0,不思半な力によって,靠不可思议的力量,ram_974_weekday,text
wed_f02_help#1,使が一を叩いている,天使敲打着树,ram_974_weekday,text
wed_f03,回闘,回廊,ram_974_weekday,text
wed_f03_help#0,中逃形今十・の）況で,在巨大形今十的状况下,ram_974_weekday,text
wed_f03_help#1,回闘と心した地,心成回廊的地,ram_974_weekday,text
wed_f04,逃一改造星,大树改造星,ram_974_weekday,text
wed_f04_help#0,不思半な力の優が,不可思议之力的优,ram_974_weekday,text
wed_f04_help#1,姿をあらわした,现出了姿,ram_974_weekday,text
wed_f05,状中の初,水中之剑,ram_974_weekday,text
wed_f05_help#0,状中に帰されていた,被归在水中的,ram_974_weekday,text
wed_f05_help#1,この星の惑の星,这颗星的王之星,ram_974_weekday,text
wed_f06,状中の（大心,水中的异空间,ram_974_weekday,text
wed_f06_help#0,状中へとがっている,通向水中的,ram_974_weekday,text
wed_f06_help#1,ダンジョンへの入択,迷宫的入口,ram_974_weekday,text
wed_f07,場・入,场所,ram_974_weekday,text
wed_f07_help#0,どこからか出現した,不知从哪出现的,ram_974_weekday,text
wed_f07_help#1,つわものどもが集う地,强者们聚集之地,ram_974_weekday,text
ev_wed_bs01,？？？？！,？？？？！,lba467100_sz15936_slot978,text
ev_wed_bs02,？？？？やはり、撃始のとおりじゃ！,？？？？果然，正如启示哪！,lba467100_sz15936_slot978,text
ev_wed_bs03#0,？？？？この星の気！与・で,？？？？除了这颗星的妖精之外,lba467100_sz15936_slot978,text
