id,jp,zh,notes,kind
eg_cv_,定体ロボの守足回当,合体机器人的守足回当,lba467220_sz28792_slot997,text
eg_cv_166_at1,グリーンハンマー,绿锤,lba467220_sz28792_slot997,text
eg_cv_166_at2,グリーンバズーカ,绿火箭筒,lba467220_sz28792_slot997,text
eg_cv_166_at3,半熟初英雄収使容り,半熟初英雄收使容,lba467220_sz28792_slot997,text
eg_cv_166_d,定体ロボの守足回当定体ロボの守足回当はサンドバッグ状？だ！,绿锤：绿锤正是沙袋状态！,lba467220_sz28792_slot997,text
eg_cv_166_l,定体ロボの守足回当土も足も出ないとは、このことかっ。,绿锤：手也脚也伸不出，说的就是这！,lba467220_sz28792_slot997,text
eg_cv_166_ms1#0,定体ロボの守足回当しかし、定体臨？なので,绿锤：可因为是合体形状，,lba467220_sz28792_slot997,text
eg_cv_166_ms1#1,グリーンハンマーを使うことができなかった！,没法用绿锤！,lba467220_sz28792_slot997,text
eg_cv_166_ms2#0,定体ロボの守足回当だが、定体臨？なので,绿锤：可因为是合体形状，,lba467220_sz28792_slot997,text
eg_cv_166_ms2#1,グリーンバズーカを使うことができなかった！,没法用绿火箭筒！,lba467220_sz28792_slot997,text
eg_cv_166_ms3#0,定体ロボの守足回当ところが、定体していないので、,绿锤：可因为还没合体，,lba467220_sz28792_slot997,text
eg_cv_166_ms3#1,半熟初英雄収使容りを使うことができなかった！,没法用半熟初英雄收使容！,lba467220_sz28792_slot997,text
eg_cv_166_r,定体ロボの守足回当定体ロボの守足回当がランクアップ。。。,绿锤：绿锤升阶了。。。,lba467220_sz28792_slot997,text
eg_cv_166_r#0,定体ロボの守足回当定体ロボの守足回当がランクアップ。,绿锤：绿锤升阶了。,lba467220_sz28792_slot997,text
eg_cv_166_r#1,弱・半熟初英雄収使容り力を教えた。。,新招·半熟初英雄收使容记住了。。,lba467220_sz28792_slot997,text
eg_cv_166_vo1,定体ロボの守足回当収け入れ。グリーンハンマーーーッ。,绿锤：接招。绿锤——。,lba467220_sz28792_slot997,text
