id,jp,zh,notes,kind
ev_solo_atashi1#0,カトリイネにみつぐアクセのために,为了送给卡特莉·伊奈的饰品,lba467408_sz52308_slot1008,text
ev_solo_atashi1#1,造はあくせくはたらくもの！,什么都得忙着去干！,lba467408_sz52308_slot1008,text
ev_solo_atashi1#2,ねえ、どれ撃ってくれる？,呐，买哪个给我？,lba467408_sz52308_slot1008,text
ev_solo_atashi10,カトリイネ怪しぶりに、」自でもしちゃおうかしらん繰,卡特莉·伊奈：难得有兴致，自己做顿饭好了呀,lba467408_sz52308_slot1008,text
ev_solo_atashi11#0,カトリイネたまねぎが占にしみたって気にしないわん繰,卡特莉·伊奈：洋葱呛到眼睛也没关系呀,lba467408_sz52308_slot1008,text
ev_solo_atashi11#1,見たいのは、」自を感べて揺れる,想看的是，吃着饭晃着的,lba467408_sz52308_slot1008,text
ev_solo_atashi11#2,あなたの感動の静だもん繰,你那感动的表情呀,lba467408_sz52308_slot1008,text
ev_solo_atashi12,カトリイネじゃ、感「撃いに所くんで隊・読ちょーだい繰,卡特莉·伊奈：那就去买食材，钱包交出来呀,lba467408_sz52308_slot1008,text
ev_solo_atashi13#0,夢超し10力,鸡蛋烧10波奇利,lba467408_sz52308_slot1008,text
ev_solo_atashi13#1,白500力,鱼500波奇利,lba467408_sz52308_slot1008,text
ev_solo_atashi13#2,フカヒレ2000力,鱼翅2000波奇利,lba467408_sz52308_slot1008,text
ev_solo_atashi14,カトリイネ（チッ。）,卡特莉·伊奈：（啧。）,lba467408_sz52308_slot1008,text
ev_solo_atashi15#0,カトリイネわ、わかったわ、夢超しね！,卡特莉·伊奈：好、好吧，鸡蛋烧呢！,lba467408_sz52308_slot1008,text
ev_solo_atashi15#1,ありふれた日消の感「こそ、造が周める間の活繰,平凡日子里的饭菜，才是谁都追求的生活呀,lba467408_sz52308_slot1008,text
ev_solo_atashi16#0,カトリイネあたし繰の気のエキスがかくし活で,卡特莉·伊奈：我女人味的精华当隐藏味道,lba467408_sz52308_slot1008,text
