id,jp,zh,notes,kind
menu_mission_mon01#0,新持に降臨する,攻陷新月降临的,ram_1006_menu,text
menu_mission_mon01#1,この星の本装地を,这颗星球的本据地。,ram_1006_menu,text
menu_mission_mon01#2,落とせ。,攻陷。,ram_1006_menu,text
menu_mission_mon02#0,移動星を,一边巧妙操纵,ram_1006_menu,text
menu_mission_mon02#1,うまく動かしつつ,移动星，,ram_1006_menu,text
menu_mission_mon02#2,本装地を落とせ。,攻陷本据地。,ram_1006_menu,text
menu_mission_mon03a#0,生ネコを捕らえ,捉住活猫，,ram_1006_menu,text
menu_mission_mon03a#1,ボス星への道を,打开通往头目星的,ram_1006_menu,text
menu_mission_mon03a#2,力りひらけ。,道路。,ram_1006_menu,text
menu_mission_mon03b#0,金は役え（った。,谷已经消失了。,ram_1006_menu,text
menu_mission_mon03b#1,移動星を守りつつ,一边守护移动星，,ram_1006_menu,text
menu_mission_mon03b#2,本装地を占将せ。,占领本据地。,ram_1006_menu,text
menu_mission_mon04a#0,まずは新に降臨する,先攻陷新月降临的,ram_1006_menu,text
menu_mission_mon04a#1,星を落とせ。,星球。,ram_1006_menu,text
menu_mission_mon04b#0,イバラから出現した,攻陷从荆棘中出现的,ram_1006_menu,text
menu_mission_mon04b#1,この星の,这颗星球的,ram_1006_menu,text
menu_mission_mon04b#2,本装地を落とせ。,本据地。,ram_1006_menu,text
mon_f01,金の星,金之星,ram_974_weekday,text
mon_f01_help#0,占き置れる金に,被闪耀的金,ram_974_weekday,text
mon_f01_help#1,中まれた星,包围的星,ram_974_weekday,text
mon_f02,夢の星,梦之星,ram_974_weekday,text
mon_f02_help#0,この星の悩番は地,这颗星的住民是大,ram_974_weekday,text
mon_f02_help#1,ロマンチストとのうわさ,浪漫主义者的传闻,ram_974_weekday,text
mon_f03,気の星,气之星,ram_974_weekday,text
mon_f03_help#0,星の世に降臨する小星,降临在星之世的小星,ram_974_weekday,text
mon_f03_help#1,守りが捕いことで熟？,守得厚实所以有名？,ram_974_weekday,text
mon_f04,壊の星,坏之星,ram_974_weekday,text
mon_f04_help#0,ロマンシングを壊ねる,窥视着浪漫的,ram_974_weekday,text
mon_f04_help#1,一番の逃星,最大的星,ram_974_weekday,text
mon_f05,壊大かりのよどみ,坏光的淤滞,ram_974_weekday,text
mon_f05_help#0,星中を投らす,贯穿星中的,ram_974_weekday,text
mon_f05_help#1,ダンジョンへの入択,迷宫的入口,ram_974_weekday,text
mon_f06,場・入,场所,ram_974_weekday,text
mon_f06_help#0,どこからか出現した,不知从哪出现的,ram_974_weekday,text
mon_f06_help#1,つわものどもが集う地,强者们聚集之地,ram_974_weekday,text
planet_01,星ロマンシング,星·浪漫,ram_974_weekday,text
planet_01_help#0,気と力・にあふれた,充满气与力·的,ram_974_weekday,text
planet_01_help#1,バラの金に協ちた星,蔷薇之金所协的星,ram_974_weekday,text
planet_01_help#2,夢みがちな出入が悩む,爱做梦的出入在此烦恼,ram_974_weekday,text
planet_01_star,・,·,ram_974_weekday,text
