id,jp,zh,notes,kind
fmenu_gameover_tue03_kyoten,装所を、占装されてしまった！,据点被占领了！,ram_1004_fmenu,text
menu_mission_tue01#0,新持の,攻陷新月的,ram_1006_menu,text
menu_mission_tue01#1,本装地を落とせ。,本据地。,ram_1006_menu,text
menu_mission_tue02#0,守りを」めつつ,一边加固防守，,ram_1006_menu,text
menu_mission_tue02#1,本装地を落とせ。,攻陷本据地。,ram_1006_menu,text
menu_mission_tue03a#0,ふたつの装所を,守住两处据点,ram_1006_menu,text
menu_mission_tue03a#1,2臨壊の心,两个月内,ram_1006_menu,text
menu_mission_tue03a#2,守りとおせ。,防守到底。,ram_1006_menu,text
menu_mission_tue03b#0,見の中から出現した,攻陷从镜中出现的,ram_1006_menu,text
menu_mission_tue03b#1,ジャドー本装地を,贾多本据地。,ram_1006_menu,text
menu_mission_tue03b#2,落とせ。,攻陷。,ram_1006_menu,text
planet_02,星リローデド,星·重装,ram_974_weekday,text
planet_02_help#0,状が不足している,状不足的,ram_974_weekday,text
planet_02_help#1,かわいた星,干燥的星,ram_974_weekday,text
planet_02_help#2,好戦／な出入が悩む,好战的出入在此烦恼,ram_974_weekday,text
planet_02_star,・・,··,ram_974_weekday,text
tue_f01,ジャドー「配置地1,贾多生产配置地1,ram_974_weekday,text
tue_f01_help#0,況姫回壊星によって,靠机械回坏星,ram_974_weekday,text
tue_f01_help#1,復られた置地のひとつ,被复的置地之一,ram_974_weekday,text
tue_f02,ジャドー「配置地2,贾多生产配置地2,ram_974_weekday,text
tue_f02_help#0,況長部隊を生み出す,产生机械长部队的,ram_974_weekday,text
tue_f02_help#1,「配の間となっている置地,生产之间的置地,ram_974_weekday,text
tue_f03,ジャドー本装地,贾多本据地,ram_974_weekday,text
tue_f03_help#0,かつては：の連の上に敵つ,从前矗在：的连之上,ram_974_weekday,text
tue_f03_help#1,造かの敗新人だったらしい,好像是某种设施,ram_974_weekday,text
tue_f04,捕見のはざま,捕见的夹缝,ram_974_weekday,text
tue_f04_help#0,捕見の中から出現した,从捕见之中出现的,ram_974_weekday,text
tue_f04_help#1,ダンジョンへの入択,迷宫的入口,ram_974_weekday,text
tue_f05,場・入,场所,ram_974_weekday,text
tue_f05_help#0,どこからか出現した,不知从哪出现的,ram_974_weekday,text
tue_f05_help#1,つわものどもが集う地,强者们聚集之地,ram_974_weekday,text
ev_tue_bs01#0,ジャドー「書マルティスは、半捕英雄はどうした？,贾多·重装：马蒂斯呢，半捕英雄怎么了？,lba467090_sz19712_slot977,text
ev_tue_bs01#1,ヤツではなく、おまえが読に挑むというのか？,不是那家伙，而是你要向我挑战吗？,lba467090_sz19712_slot977,text
ev_tue_bs02#0,うむっ。,嗯。,lba467090_sz19712_slot977,text
ev_tue_bs02#1,ちょっと見に修ただけ,只是来看看而已,lba467090_sz19712_slot977,text
ev_tue_bs03#0,そうだ,对,lba467090_sz19712_slot977,text
ev_tue_bs03#1,いや,不,lba467090_sz19712_slot977,text
ev_tue_bs04#0,ルーナエ読のピンクエッグが、マルティスにかわり,鲁奈：我的粉红蛋代替马蒂斯,lba467090_sz19712_slot977,text
ev_tue_bs04#1,きさまを移く。,来收拾你。,lba467090_sz19712_slot977,text
ev_tue_bs05#0,そうじゃ,正是,lba467090_sz19712_slot977,text
ev_tue_bs05#1,いや,不,lba467090_sz19712_slot977,text
ev_tue_bs06,メルクリィ！,梅尔克里！,lba467090_sz19712_slot977,text
ev_tue_bs07,メルクリィミスティエッグの撃始じゃ！,梅尔克里：迷雾蛋的启示哪！,lba467090_sz19712_slot977,text
ev_tue_bs08,メルクリィおぬしの姿は頼いておるとな！,梅尔克里：你的姿态，我可是看穿了的哪！,lba467090_sz19712_slot977,text
ev_tue_bs09#0,ああ,啊啊,lba467090_sz19712_slot977,text
ev_tue_bs09#1,いや,不,lba467090_sz19712_slot977,text
ev_tue_bs10,ペンプティおまえは、読と小じにおいがする！,彭普蒂：你身上，有和我一样的气味！,lba467090_sz19712_slot977,text
ev_tue_bs11p,パイペンプティと,派：和彭普蒂,lba467090_sz19712_slot977,text
ev_tue_bs11v,ーァンえ。？,凡：诶。？,lba467090_sz19712_slot977,text
ev_tue_bs11y,ヤー小じ？,雅：一样？,lba467090_sz19712_slot977,text
ev_tue_bs12#0,もちろんや。,当然啦。,lba467090_sz19712_slot977,text
ev_tue_bs12#1,やめといたるわ,还是算了吧,lba467090_sz19712_slot977,text
ev_tue_bs13#0,フライデー力が死ぬほどメレンゲするまで,弗莱迪：打到力气死一样打成蛋白霜,lba467090_sz19712_slot977,text
