id,jp,zh,notes,kind
ev_april1#0,セバスチャンすっかり進めいてきましたな！,塞巴斯蒂安：已经完全有春天的气息了的说！,lba467408_sz52308_slot1008,text
ev_april1#1,将たちも、ウキウキ気分のようですじゃ！,将士们也心情雀跃的样子的说！,lba467408_sz52308_slot1008,text
ev_april10,セバスチャンこれで、いいのじゃろうか！,塞巴斯蒂安：这样，可以了吧！,lba467408_sz52308_slot1008,text
ev_april10a,セバスチャンこれで、いいのじゃろうか！,塞巴斯蒂安：这样，可以了吧！,lba467408_sz52308_slot1008,text
ev_april11#0,セバスチャンそうですな！,塞巴斯蒂安：是啊的说！,lba467408_sz52308_slot1008,text
ev_april11#1,進とはいえ、戦のさなか！,虽说是春天，也正值战事！,lba467408_sz52308_slot1008,text
ev_april11#2,様かれている入定ではありませんでしたな。,可不是能飘飘然的时候的说。,lba467408_sz52308_slot1008,text
ev_april11a#0,セバスチャンそうですな！,塞巴斯蒂安：是啊的说！,lba467408_sz52308_slot1008,text
ev_april11a#1,造とはいえ、号のさなか！,虽说是春天，也正值战事！,lba467408_sz52308_slot1008,text
ev_april11a#2,可かれている現与ではありませんでしたな。,可不是能飘飘然的时候的说。,lba467408_sz52308_slot1008,text
ev_april12#0,セバスチャンでは、殿,塞巴斯蒂安：那么，殿下,lba467408_sz52308_slot1008,text
ev_april12#1,壊も休…っていきましょう。,这个月也鼓起劲上吧。,lba467408_sz52308_slot1008,text
ev_april12a#0,セバスチャンでは、連,塞巴斯蒂安：那么，殿下,lba467408_sz52308_slot1008,text
ev_april12a#1,怖壊も道美っていきましょう。,这个月也鼓起劲上吧。,lba467408_sz52308_slot1008,text
ev_april1a#0,セバスチャンすっかり造めいてきましたな！,塞巴斯蒂安：已经完全有春天的气息了的说！,lba467408_sz52308_slot1008,text
ev_april1a#1,【たちも、ウキウキ待場のようですじゃ！,将士们也心情雀跃的样子的说！,lba467408_sz52308_slot1008,text
ev_april2#0,セバスチャンここはひとつ300ポッキリほどかけて,塞巴斯蒂安：这里就花上300波奇利,lba467408_sz52308_slot1008,text
ev_april2#1,金見でも開いてみるというのは、いかがですかな？,去赏个花，您觉得如何的说？,lba467408_sz52308_slot1008,text
ev_april2#2,軍気をあげるには激抜きも時間かと！,要提起士气，歇口气也是时候的说！,lba467408_sz52308_slot1008,text
ev_april2a#0,セバスチャンここはひとつ300ポッキリほどかけて,塞巴斯蒂安：这里就花上300波奇利,lba467408_sz52308_slot1008,text
ev_april2a#1,白逃でも「いてみるというのは、いかがですかな？,去赏个花，您觉得如何的说？,lba467408_sz52308_slot1008,text
ev_april2a#2,役待をあげるには撤持きも小十かと！,要提起士气，歇口气也是时候的说！,lba467408_sz52308_slot1008,text
ev_april3#0,うむっ。,嗯。,lba467408_sz52308_slot1008,text
ev_april3#1,いかんっ。,不行。,lba467408_sz52308_slot1008,text
ev_april4#0,セバスチャン了解しました。,塞巴斯蒂安：明白了。,lba467408_sz52308_slot1008,text
ev_april4#1,さっそく金見の土字をいたしますぞ。,这就去准备赏花的说。,lba467408_sz52308_slot1008,text
ev_april4a#0,セバスチャン小しました。,塞巴斯蒂安：明白了。,lba467408_sz52308_slot1008,text
ev_april4a#1,さっそく白逃の踊優をいたしますぞ。,这就去准备赏花的说。,lba467408_sz52308_slot1008,text
ev_april5#0,んっちゃんちゃからちゃ落んちゃ落,嗯恰嗯恰卡拉恰，落嗯恰落,lba467408_sz52308_slot1008,text
ev_april5#1,ワハハハ。,哇哈哈哈。,lba467408_sz52308_slot1008,text
ev_april5#2,はんじゅくおんど落ってか。,半熟音头，来了吗。,lba467408_sz52308_slot1008,text
ev_april6#0,セバスチャンいや、いいものですな。,塞巴斯蒂安：哎呀，真不错的说。,lba467408_sz52308_slot1008,text
ev_april6#1,たまには金見というのも,偶尔赏赏花也不错,lba467408_sz52308_slot1008,text
ev_april6a#0,セバスチャンいや、いいものですな。,塞巴斯蒂安：哎呀，真不错的说。,lba467408_sz52308_slot1008,text
ev_april6a#1,たまには白逃というのも,偶尔赏赏花也不错,lba467408_sz52308_slot1008,text
ev_april7#0,セバスチャンおや？,塞巴斯蒂安：哟？,lba467408_sz52308_slot1008,text
ev_april7#1,殿？,殿下？,lba467408_sz52308_slot1008,text
ev_april7#2,どこへいかれてしまったのですか？,您上哪儿去了的说？,lba467408_sz52308_slot1008,text
ev_april7a#0,セバスチャンおや？,塞巴斯蒂安：哟？,lba467408_sz52308_slot1008,text
ev_april7a#1,連？,殿下？,lba467408_sz52308_slot1008,text
ev_april7a#2,どこへいかれてしまったのですか？,您上哪儿去了的说？,lba467408_sz52308_slot1008,text
ev_april8#0,勢っ費いうぃっ。,醉汉：嘿，喂。,lba467408_sz52308_slot1008,text
ev_april8#1,勢っ費いそこらで飲んでたんだけどさ！,醉汉：俺刚在那儿喝着呢！,lba467408_sz52308_slot1008,text
ev_april8#2,勢っ費い形体なくゴチになったぜ。,醉汉：莫名其妙就蹭上饭了。,lba467408_sz52308_slot1008,text
ev_april8a#0,勢っ費い闘は、「かせてもらった。,醉汉：今天，让俺歇了。,lba467408_sz52308_slot1008,text
ev_april8a#1,勢っ費い頼かせるじゃないか、いまどき！,醉汉：现在还挺让人靠得住嘛！,lba467408_sz52308_slot1008,text
ev_april8a#2,勢っ費い決めた。帰ぁあんたらについてくぜ。,醉汉：决定了。俺跟你们走。,lba467408_sz52308_slot1008,text
ev_april9,勢っ費い500人が、アルマムーンの将軍になった。,醉汉500人，成了阿尔玛之月的将军。,lba467408_sz52308_slot1008,text
