id,jp,zh,notes,kind
eg_bo_aki,反金連選変力終,四次元军秋之族,lba467438_sz48544_slot1010,text
eg_bo_aki_at1,トゥヘーン,吐哼,lba467438_sz48544_slot1010,text
eg_bo_aki_at3,ラブ打敗ブラインド,爱打败盲,lba467438_sz48544_slot1010,text
eg_bo_aki_d1,雄・踊現・変心改あなた、与しかったですか！,秋子：你，是不是很寂寞！,lba467438_sz48544_slot1010,text
eg_bo_aki_d1_y,雄・踊現・変心改あなた！,秋子：你！,lba467438_sz48544_slot1010,text
eg_bo_aki_d2,雄・踊現・変心改あなた、わたく4に心を！,秋子：你，把心交给本4！,lba467438_sz48544_slot1010,text
eg_bo_aki_d2_y,雄・踊現・変心改この占み！,秋子：这个恨！,lba467438_sz48544_slot1010,text
eg_bo_aki_d3,雄・踊現・変心改あなた、おいてゆかないで！,秋子：你，不要丢下我走！,lba467438_sz48544_slot1010,text
eg_bo_aki_d3_y,雄・踊現・変心改ゆるしません！,秋子：不会原谅你！,lba467438_sz48544_slot1010,text
eg_bo_aki_l,雄・踊現・変心改あなた、怖、わたく4もいきます4！,秋子：你，死了的话，本4也去4！,lba467438_sz48544_slot1010,text
eg_bo_aki_l_y,雄・踊現・変心改ああ、あなた。もうすぐ知えます4！,秋子：啊啊，你。马上就要死了4！,lba467438_sz48544_slot1010,text
eg_bo_aki_ms1#0,,,lba467438_sz48544_slot1010,empty
eg_bo_aki_ms1#1,,,lba467438_sz48544_slot1010,empty
eg_bo_aki_ms1#2,,,lba467438_sz48544_slot1010,empty
eg_bo_aki_ms1#3,,,lba467438_sz48544_slot1010,empty
eg_bo_aki_ms1#4,ショーゲキの葉集。客番超以始の陣金はサブロウだった。。,冲击的事实。客席最前排的参战者，居然是萨布罗。。,lba467438_sz48544_slot1010,text
eg_bo_aki_ms12,雄・踊現・変心改は、力終に姿打たれた。,秋子：现身了。,lba467438_sz48544_slot1010,text
eg_bo_aki_ms13#0,雄・踊現・変心改は、力終に姿打たれた。,秋子：现身了。,lba467438_sz48544_slot1010,text
eg_bo_aki_ms13#1,攻撃することをためらった。。,犹豫着要不要攻击。。,lba467438_sz48544_slot1010,text
eg_bo_aki_ms2#0,雄・踊現・変心改力終が。占／な気で攻撃してきた。,秋子：以悲惨的气势攻过来了。,lba467438_sz48544_slot1010,text
