id,jp,zh,notes,kind
basis_001,の攻撃。,的攻击。,lba467305_sz51448_slot1002,text
basis_001_k,の読集。,的攻击。,lba467305_sz51448_slot1002,text
basis_002,の攻撃。,的攻击。,lba467305_sz51448_slot1002,text
basis_002_k,の読集。,的攻击。,lba467305_sz51448_slot1002,text
basis_00a,。の繰土は、だっ。。,。的繰土，是、……,lba467305_sz51448_slot1002,text
basis_011,に、のダメージ。。,受到了的伤害……,lba467305_sz51448_slot1002,text
basis_011_k,に、のダメージ。。,受到了的伤害……,lba467305_sz51448_slot1002,text
basis_012,に、のダメージ。。,受到了的伤害……,lba467305_sz51448_slot1002,text
basis_012_k,に、のダメージ。。,受到了的伤害……,lba467305_sz51448_slot1002,text
basis_02,たちに、のダメージ。。,们，受到了的伤害……,lba467305_sz51448_slot1002,text
basis_021,たちに、のダメージ。。,们，受到了的伤害……,lba467305_sz51448_slot1002,text
basis_0211,たち全装に、のダメージ。。,们全体，受到了的伤害……,lba467305_sz51448_slot1002,text
basis_0211_k,たち合好に、のダメージ。。,们全灭，受到了的伤害……,lba467305_sz51448_slot1002,text
basis_021_k,たちに、のダメージ。。,们，受到了的伤害……,lba467305_sz51448_slot1002,text
basis_022,たち全装に、のダメージ。。,们全体，受到了的伤害……,lba467305_sz51448_slot1002,text
basis_022_k,たち合好に、のダメージ。。,们全灭，受到了的伤害……,lba467305_sz51448_slot1002,text
basis_02_k,たちに、のダメージ。。,们，受到了的伤害……,lba467305_sz51448_slot1002,text
basis_03#0,に、,，,lba467305_sz51448_slot1002,text
basis_03#1,連書ダメージ。。,连续伤害……,lba467305_sz51448_slot1002,text
basis_031#0,に、,，,lba467305_sz51448_slot1002,text
basis_031#1,連書ダメージ。。,连续伤害……,lba467305_sz51448_slot1002,text
basis_031_k#0,に、,，,lba467305_sz51448_slot1002,text
basis_031_k#1,本当ダメージ。。,通常伤害……,lba467305_sz51448_slot1002,text
basis_03_k#0,に、,，,lba467305_sz51448_slot1002,text
basis_03_k#1,本当ダメージ。。,通常伤害……,lba467305_sz51448_slot1002,text
basis_04#0,たちに、,们，,lba467305_sz51448_slot1002,text
basis_04#1,連書ダメージ。。,连续伤害……,lba467305_sz51448_slot1002,text
basis_041#0,たちに、,们，,lba467305_sz51448_slot1002,text
basis_041#1,連書ダメージ。。,连续伤害……,lba467305_sz51448_slot1002,text
basis_0411#0,たち全装に、,们全体，,lba467305_sz51448_slot1002,text
basis_0411#1,連書ダメージ。。,连续伤害……,lba467305_sz51448_slot1002,text
basis_0411_k#0,たち合好に、,们全灭，,lba467305_sz51448_slot1002,text
basis_0411_k#1,本当ダメージ。。,通常伤害……,lba467305_sz51448_slot1002,text
basis_041_k#0,たちに、,们，,lba467305_sz51448_slot1002,text
basis_041_k#1,本当ダメージ。。,通常伤害……,lba467305_sz51448_slot1002,text
basis_043#0,たち全装に、,们全体，,lba467305_sz51448_slot1002,text
basis_043#1,連書ダメージ。。,连续伤害……,lba467305_sz51448_slot1002,text
basis_043_k#0,たち合好に、,们全灭，,lba467305_sz51448_slot1002,text
basis_043_k#1,本当ダメージ。。,通常伤害……,lba467305_sz51448_slot1002,text
basis_04_k#0,たちに、,们，,lba467305_sz51448_slot1002,text
basis_04_k#1,本当ダメージ。。,通常伤害……,lba467305_sz51448_slot1002,text
basis_05#0,たちに、,们，,lba467305_sz51448_slot1002,text
basis_05#1,ヨコはち夢客逃のダメージ。。,横扫无敌大的伤害……,lba467305_sz51448_slot1002,text
basis_051#0,たちに、,们，,lba467305_sz51448_slot1002,text
