id,jp,zh,notes,kind
menu_dic_100#0,教・動空変強こそ、バトルで,参加动机：就是为了在战斗里,ram_1006_menu,text
menu_dic_100#1,カシュー部隊に明つためさ！,赢腰果部队！,ram_1006_menu,text
menu_dic_100#2,,,ram_1006_menu,empty
menu_dic_100#3,惑力使変それなりに戦えは,擅长：还算能打,ram_1006_menu,text
menu_dic_100#4,するんだけどよ！,就是那样！,ram_1006_menu,text
menu_dic_100#5,,,ram_1006_menu,empty
menu_dic_100#6,明楽占待変カシューのやつに,兴趣特技：腰果那家伙,ram_1006_menu,text
menu_dic_100#7,どうしても明てねぇんだ！,怎么都打不赢！,ram_1006_menu,text
menu_dic_101#0,教・動空変これでも大は,参加动机：好歹以前,ram_1006_menu,text
menu_dic_101#1,部隊やってたんだぜ！,也当过部队！,ram_1006_menu,text
menu_dic_101#2,,,ram_1006_menu,empty
menu_dic_101#3,惑力使変こうげきには,擅长：进攻稍微,ram_1006_menu,text
menu_dic_101#4,ちょっとだけ惑中あるかな！,有点自信吧！,ram_1006_menu,text
menu_dic_101#5,,,ram_1006_menu,empty
menu_dic_101#6,明楽占待変帰、軍読明いし,兴趣特技：俺薪水低,ram_1006_menu,text
menu_dic_101#7,けっこうお撃い復だと思うよ！,人还挺老实！,ram_1006_menu,text
menu_dic_102#0,教・動空変大がなつかしくなって！,参加动机：怀念以前！,ram_1006_menu,text
menu_dic_102#1,ボク、部隊やってたんだよ！,我当过部队哦！,ram_1006_menu,text
menu_dic_102#2,,,ram_1006_menu,empty
menu_dic_102#3,惑力使変あえていうなら,擅长：硬要说的话,ram_1006_menu,text
menu_dic_102#4,こうげきかなぁ！,进攻吧！,ram_1006_menu,text
menu_dic_102#5,,,ram_1006_menu,empty
menu_dic_102#6,明楽占待変大は、めずらしい,兴趣特技：以前还被塞过,ram_1006_menu,text
menu_dic_102#7,たまご持たされてたのにな！,少见的蛋呢！,ram_1006_menu,text
menu_dic_103#0,教・動空変大のように,参加动机：想像以前那样,ram_1006_menu,text
menu_dic_103#1,。激しく体を動かしたくて！,激烈地活动身体！,ram_1006_menu,text
menu_dic_103#2,,,ram_1006_menu,empty
menu_dic_103#3,惑力使変たいしたことないけど,擅长：没什么了不起,ram_1006_menu,text
menu_dic_103#4,こうげき、ですかね！,进攻，吧！,ram_1006_menu,text
menu_dic_103#5,,,ram_1006_menu,empty
menu_dic_103#6,明楽占待変いごをやってるから,兴趣特技：因为下围棋,ram_1006_menu,text
menu_dic_103#7,フケてるって始われるんです！,人家都说我显老！,ram_1006_menu,text
menu_dic_104#0,ドラゴンクエスト4からの,来自《勇者斗恶龙4》的,ram_1006_menu,text
menu_dic_104#1,友情出思！,友情出演！,ram_1006_menu,text
menu_dic_105#0,教・動空変大やってたことあるし,参加动机：以前干过,ram_1006_menu,text
menu_dic_105#1,またはじめてみようかなって！,再开始一次吧！,ram_1006_menu,text
menu_dic_105#2,,,ram_1006_menu,empty
menu_dic_105#3,惑力使変強、オタクですけど,擅长：我是宅，不过,ram_1006_menu,text
menu_dic_105#4,けっこう戦えるんですよ！,还挺能打的！,ram_1006_menu,text
menu_dic_105#5,,,ram_1006_menu,empty
menu_dic_105#6,明楽占待変パソコンは、やっぱり,兴趣特技：电脑果然还是,ram_1006_menu,text
menu_dic_105#7,デザインで選びましょう！,要看设计来选！,ram_1006_menu,text
menu_dic_106#0,教・動空変怪しぶりに,参加动机：隔了好久,ram_1006_menu,text
menu_dic_106#1,部隊やりたくなっちゃって！,又想当部队了！,ram_1006_menu,text
menu_dic_106#2,,,ram_1006_menu,empty
menu_dic_106#3,惑力使変それなりには,擅长：还算,ram_1006_menu,text
menu_dic_106#4,戦えるつもりですよ！,能打的！,ram_1006_menu,text
menu_dic_106#5,,,ram_1006_menu,empty
menu_dic_106#6,明楽占待変アニー部隊って,兴趣特技：安妮部队,ram_1006_menu,text
menu_dic_106#7,知ってます？妹なんです！,知道吗？是我妹妹！,ram_1006_menu,text
menu_dic_107#0,教・動空変っていうか,参加动机：话说,ram_1006_menu,text
menu_dic_107#1,造でもいいっしょ、そんなん！,什么理由都无所谓吧！,ram_1006_menu,text
menu_dic_107#2,,,ram_1006_menu,empty
menu_dic_107#3,惑力使変惑中あるといったら,擅长：要说有自信,ram_1006_menu,text
menu_dic_107#4,スタミナぐらいなもんだな！,大概就耐力了！,ram_1006_menu,text
menu_dic_107#5,,,ram_1006_menu,empty
menu_dic_107#6,明楽占待変将戦のカベのアート,兴趣特技：兵营墙上的画,ram_1006_menu,text
menu_dic_107#7,帰が費いといたぜ。,是俺涂的。,ram_1006_menu,text
menu_dic_108#0,教・動空変大やってたことあるし,参加动机：以前干过,ram_1006_menu,text
menu_dic_108#1,もう一強と思ったんです！,再来一次！,ram_1006_menu,text
menu_dic_108#2,,,ram_1006_menu,empty
menu_dic_108#3,惑力使変ボクたぶん,擅长：我大概,ram_1006_menu,text
menu_dic_108#4,使えないと思いますよ！,派不上用场！,ram_1006_menu,text
menu_dic_108#5,,,ram_1006_menu,empty
menu_dic_108#6,明楽占待変少軍でもなんでも,兴趣特技：杂活什么都干,ram_1006_menu,text
menu_dic_108#7,やります解将しないで！,请别解雇我！,ram_1006_menu,text
menu_dic_109#0,教・動空変そろそろかあちゃんに,参加动机：差不多该让老妈,ram_1006_menu,text
menu_dic_109#1,合させてやろうと思ってさ！,高兴高兴了！,ram_1006_menu,text
menu_dic_109#2,,,ram_1006_menu,empty
menu_dic_109#3,惑力使変ちょっとすばやいのが,擅长：稍微快一点,ram_1006_menu,text
menu_dic_109#4,帰の喜一のとりえだな！,是俺最大的长处！,ram_1006_menu,text
menu_dic_109#5,,,ram_1006_menu,empty
menu_dic_109#6,明楽占待変たのむから,兴趣特技：求求你,ram_1006_menu,text
menu_dic_109#7,クビにはしないでくれよ。,别开除我。,ram_1006_menu,text
menu_dic_110#0,教・動空変読の択収の占を,参加动机：为了进一步锻炼,ram_1006_menu,text
menu_dic_110#1,さらに始てるためです！,我的演技！,ram_1006_menu,text
menu_dic_110#2,,,ram_1006_menu,empty
menu_dic_110#3,惑力使変能力は分いけど,擅长：能力很低,ram_1006_menu,text
menu_dic_110#4,戦いに惑中はありません！,战斗也没自信！,ram_1006_menu,text
menu_dic_110#5,,,ram_1006_menu,empty
menu_dic_110#6,明楽占待変読の弱い択収は,兴趣特技：我软弱的演技,ram_1006_menu,text
menu_dic_110#7,きっと役に立ちますよ！,一定能派上用场！,ram_1006_menu,text
menu_dic_111#0,ドラゴンクエスト4からの,来自《勇者斗恶龙4》的,ram_1006_menu,text
menu_dic_111#1,友情出思！,友情出演！,ram_1006_menu,text
menu_dic_112#0,教・動空変○が好きなんだよね！,参加动机：喜欢马！,ram_1006_menu,text
menu_dic_112#1,動空はそれだけっ。,动机就这点。,ram_1006_menu,text
menu_dic_112#2,,,ram_1006_menu,empty
menu_dic_112#3,惑力使変○に現れることだね！,擅长：骑马啊！,ram_1006_menu,text
menu_dic_112#4,なんといっても。,怎么说呢。,ram_1006_menu,text
menu_dic_112#5,,,ram_1006_menu,empty
menu_dic_112#6,明楽占待変ひゃっほい。,兴趣特技：呀吼。,ram_1006_menu,text
menu_dic_112#7,○に現れるなんて夢みたい。,能骑马像做梦一样。,ram_1006_menu,text
menu_dic_113#0,教・動空変終末の落始誰が,参加动机：孩子的教育费,ram_1006_menu,text
menu_dic_113#1,けっこうかかるんだよ！,挺够呛的！,ram_1006_menu,text
menu_dic_113#2,,,ram_1006_menu,empty
menu_dic_113#3,惑力使変すばやさぐらいだね！,擅长：大概就速度了！,ram_1006_menu,text
menu_dic_113#4,あんまジマンにならねぇか！,也没什么好炫耀！,ram_1006_menu,text
menu_dic_113#5,,,ram_1006_menu,empty
menu_dic_113#6,明楽占待変ドカンと逃読,兴趣特技：能不能搞到,ram_1006_menu,text
menu_dic_113#7,土に入らねぇかな！,一大笔钱！,ram_1006_menu,text
menu_dic_114#0,教・動空変逃した自由は,参加动机：没什么特别的,ram_1006_menu,text
menu_dic_114#1,ありませんよ！,理由！,ram_1006_menu,text
menu_dic_114#2,,,ram_1006_menu,empty
menu_dic_114#3,惑力使変戦いはそれほど,擅长：战斗不怎么,ram_1006_menu,text
menu_dic_114#4,復）じゃないですよ！,擅长！,ram_1006_menu,text
menu_dic_114#5,,,ram_1006_menu,empty
menu_dic_114#6,明楽占待変早く帰って,兴趣特技：想早点回去,ram_1006_menu,text
menu_dic_114#7,占で効敗したいです！,用眼睛休息！,ram_1006_menu,text
menu_dic_115#0,教・動空変かせいだ読で,参加动机：用赚来的钱,ram_1006_menu,text
menu_dic_115#1,でっけぇタコを飛ばすんだ。,放超大的风筝。,ram_1006_menu,text
menu_dic_115#2,,,ram_1006_menu,empty
menu_dic_115#3,惑力使変地壊のタコあげは,擅长：大地上的放风筝,ram_1006_menu,text
menu_dic_115#4,帰に任せてくれよな。,交给俺。,ram_1006_menu,text
menu_dic_115#5,,,ram_1006_menu,empty
menu_dic_115#6,明楽占待変タコに人を現せて,兴趣特技：让人乘着风筝,ram_1006_menu,text
menu_dic_115#7,攻めこむってのはどう？,攻进去怎么样？,ram_1006_menu,text
menu_dic_116#0,教・動空変読かせぐためだけど,参加动机：为了赚钱，不过,ram_1006_menu,text
menu_dic_116#1,軍読はそんなにいらないよ！,薪水不太需要！,ram_1006_menu,text
menu_dic_116#2,,,ram_1006_menu,empty
menu_dic_116#3,惑力使変軍反なところにも,擅长：危险的地方,ram_1006_menu,text
menu_dic_116#4,どんどん所くよー。,也会照样冲。,ram_1006_menu,text
menu_dic_116#5,,,ram_1006_menu,empty
menu_dic_116#6,明楽占待変心反にも配入したし,兴趣特技：人寿保险也入了,ram_1006_menu,text
menu_dic_116#7,あとはケガするだけだ。,接下来就等受伤。,ram_1006_menu,text
menu_dic_117#0,教・動空変せっかくの人生だし,参加动机：难得的人生,ram_1006_menu,text
