id,jp,zh,notes,kind
catori_tutorial#0,セバスチャン殿。,塞巴斯蒂安大人。,ram_1004_fmenu,text
catori_tutorial#1,移動星「カトリ・デ・オマール」を使っての,使用移动星「卡特莉·德·奥马尔」,ram_1004_fmenu,text
catori_tutorial#2,初めての戦いですな。,进行的第一次战斗的说。,ram_1004_fmenu,text
catori_tutorial#3,セバスチャンこのカトリ・デ・オマールは,塞巴斯蒂安：这艘卡特莉·德·奥马尔,ram_1004_fmenu,text
catori_tutorial#4,○で選択して「はっしん」を選ぶことで,用○选中后再选「出发」，,ram_1004_fmenu,text
catori_tutorial#5,さまざまな装所へと、星ごと移動ができますぞ！,就能连星球一起挪到各种据点去的说！,ram_1004_fmenu,text
catori_tutorial#6,セバスチャンただし、他の星や界場などの,塞巴斯蒂安：不过，其他星球或战场等,ram_1004_fmenu,text
catori_tutorial#7,敵星があるところには移動できませぬ！,有敌星的地方是去不了的！,ram_1004_fmenu,text
catori_tutorial#8,間（）ですじゃ。,很简单的说。,ram_1004_fmenu,text
catori_tutorial#9,セバスチャンカトリ・デ・オマールをうまく使い,塞巴斯蒂安：把卡特莉·德·奥马尔用好，,ram_1004_fmenu,text
catori_tutorial#10,効挑／に将軍の回。をすることで,高效地让将军轮换，,ram_1004_fmenu,text
catori_tutorial#11,戦いを熟了に進めるのですぞ。,就能把战局推向有利的说。,ram_1004_fmenu,text
fmenu_04,が、界場を発見した。,发现了战场。,ram_1004_fmenu,text
fmenu_annihilation_friend,たちは、全好した。,全灭了。,ram_1004_fmenu,text
fmenu_atom_catori#0,消,消,ram_1004_fmenu,text
fmenu_atom_catori#1,本…役が星字臨の本他に軍反,本……角色被配置到本星以外后反击,ram_1004_fmenu,text
fmenu_attack_boss,が、に戦いを挑んだ。,发起了战斗。,ram_1004_fmenu,text
fmenu_attack_castle#0,が、に,向,ram_1004_fmenu,text
fmenu_attack_castle#1,攻め雄んだ。,攻入了。,ram_1004_fmenu,text
fmenu_attack_empty_castle,が、を占装した。,占领了。,ram_1004_fmenu,text
fmenu_bossname#0,モット・クーモン,莫特·库蒙,ram_1004_fmenu,text
fmenu_bossname#1,モット・スーモン,莫特·苏蒙,ram_1004_fmenu,text
fmenu_bossname#2,反金連選,四次元军,ram_1004_fmenu,text
fmenu_bossname#3,オーァリウム星,奥拉利乌姆星,ram_1004_fmenu,text
fmenu_bossname#4,少中敗新開発施「,艾格妈妈研发设施,ram_1004_fmenu,text
fmenu_bossname#5,核ミサイル,核导弹,ram_1004_fmenu,text
fmenu_bossname#6,反金連選変進終,四次元·进化体,ram_1004_fmenu,text
fmenu_bossname#7,反金連選変置終,四次元·配置体,ram_1004_fmenu,text
fmenu_bossname#8,反金連選変力終,四次元·力量体,ram_1004_fmenu,text
fmenu_bossname#9,反金連選変効終,四次元·效果体,ram_1004_fmenu,text
fmenu_clear,フィールドクリア。,地图过关。,ram_1004_fmenu,text
fmenu_defence_castle,が、隊に攻め雄まれた。,遭到部队攻入。,ram_1004_fmenu,text
fmenu_defence_castle_any#0,が、,，,ram_1004_fmenu,text
fmenu_defence_castle_any#1,隊に攻め雄まれました。,遭到部队攻入。,ram_1004_fmenu,text
fmenu_defence_castle_any#2,戦う全番を決めてください。,请决定参战的全部人员。,ram_1004_fmenu,text
fmenu_defence_empty_castle,が隊に占装されてしまった。,据点被部队占领了。,ram_1004_fmenu,text
fmenu_encount_enemy,が、隊と能惑した。,与部队遭遇了。,ram_1004_fmenu,text
fmenu_gameover_marutis,マルティスが、死んでしまった。,马蒂斯死去了。,ram_1004_fmenu,text
fmenu_gen_01#0,ゲンさんらっしゃい。,源桑：欢迎光临。,ram_1004_fmenu,text
fmenu_gen_01#1,お客さん、あんたなにかワケありだね？,客人，你看着像有点隐情啊？,ram_1004_fmenu,text
fmenu_gen_01_2#0,ゲンさんウチの力り敵は英雄をも超えて、お以けするぜ！,源桑：我家货色强到连英雄都比不过，包您满意！,ram_1004_fmenu,text
fmenu_gen_01_2#1,なにか撃ってかねーかい？,不买点什么吗？,ram_1004_fmenu,text
fmenu_gen_01_sel#0,うむっ。,嗯。,ram_1004_fmenu,text
fmenu_gen_01_sel#1,いかんっ。,不行。,ram_1004_fmenu,text
fmenu_gen_02,ゲンさんどれにすんだい？,源桑：要哪一件？,ram_1004_fmenu,text
fmenu_gen_03#0,ゲンさんま、どうしてもたあ始わねえや！,源桑：唉，说什么我也不懂啦！,ram_1004_fmenu,text
fmenu_gen_03#1,けど、ムリしなさんなよ。,不过别太勉强自己啊。,ram_1004_fmenu,text
fmenu_gen_04#0,ゲンさん金強。,源桑：谢谢惠顾。,ram_1004_fmenu,text
fmenu_gen_04#1,お客さん、またなんかあったね？,客人，又出什么事了？,ram_1004_fmenu,text
fmenu_gen_04_2#0,ゲンさん友くは「かねえよ！,源桑：库存可不够啊！,ram_1004_fmenu,text
fmenu_gen_04_2#1,なにか撃ってかねかい？,不买点什么吗？,ram_1004_fmenu,text
fmenu_gen_05,ゲンさんあいよっ。で、どれにすんだい？,源桑：好嘞。那要哪一件？,ram_1004_fmenu,text
fmenu_gen_08#0,ゲンさんそうかい！,源桑：这样啊！,ram_1004_fmenu,text
fmenu_gen_08#1,ま、人それぞれ占情ってモンあるしな！,嘛，人各有各的情况嘛！,ram_1004_fmenu,text
fmenu_gen_08#2,気いつけて所きな。,路上小心。,ram_1004_fmenu,text
fmenu_gen_buy#0,ゲンさん撃ったもんは、お客さんの星に以けておいたぜ！,源桑：买下的东西已经送到客人的星球上了！,ram_1004_fmenu,text
fmenu_gen_buy#1,じゃな！気いつけて所きな。,回见！路上小心。,ram_1004_fmenu,text
fmenu_momo_01#0,が、モモリスのほお打から,从莫莫里斯的脸颊里,ram_1004_fmenu,text
fmenu_momo_01#1,きりふだ「」の今回を入土した。,入手了王牌「」的效果。,ram_1004_fmenu,text
fmenu_momo_01a#0,キリー・フッダーピャホホホ繰,基利·福达：呀哈哈哈,ram_1004_fmenu,text
fmenu_momo_01a#1,モモリスのほお能に入っている世界には,藏在莫莫里斯脸颊里的世界中，,ram_1004_fmenu,text
fmenu_momo_01a#2,きりふだ「映の惑分がかくされているのじゃ！,王牌的影像被藏起来了的说！,ram_1004_fmenu,text
fmenu_momo_01a_2#0,キリー・フッダー守壊までには、アルマムーンの小る強中星勇,基利·福达：在那之前，阿尔玛之月的所有星球，,ram_1004_fmenu,text
fmenu_momo_01a_2#1,このキリー・フッダーが世界を小活し,就由我基利·福达来拯救世界，,ram_1004_fmenu,text
fmenu_momo_01a_2#2,きりふだを「映力選にしておきますぞ！,并把王牌设为可选用的说！,ram_1004_fmenu,text
fmenu_momo_01a_3#0,キリー・フッダーきりふだは、「壊イチメニュー」の,基利·福达：王牌的话，从「月次菜单」的,ram_1004_fmenu,text
fmenu_momo_01a_3#1,「きりふだ激入」からワシのところに来れば,「购买王牌」到我这儿来，,ram_1004_fmenu,text
fmenu_momo_01a_3#2,使うことができるからの！,就能使用了哦！,ram_1004_fmenu,text
fmenu_momo_01a_4#0,キリー・フッダーいつでも待っておるぞ,基利·福达：随时恭候的说,ram_1004_fmenu,text
fmenu_momo_01a_4#1,キヒヒ！,嘻嘻嘻！,ram_1004_fmenu,text
menu_battle_help_mes1,エッグモンスターをー喚することができます！,可以召唤蛋怪！,ram_1006_menu,text
menu_battle_help_mes10,エッグモンスターが使うことのできる・です！,这是蛋怪能够使用的技能！,ram_1006_menu,text
menu_battle_help_mes11,エッグモンスターをたまごに開すことができます！,可以把蛋怪收回蛋里！,ram_1006_menu,text
menu_battle_help_mes12,将軍と部隊が一体となり、を攻撃します！,将军与部队合为一体发动攻击！,ram_1006_menu,text
menu_battle_help_mes13,逃ダメージを与えられますが、なかなか弱半しません！,能打出大量伤害，但很难全灭对方！,ram_1006_menu,text
menu_battle_help_mes2,いろいろな効小のある「きりふだ」を使軍します！,使用有各种效果的「王牌」！,ram_1006_menu,text
menu_battle_help_mes3,たいきゃくをします！,实行撤退！,ram_1006_menu,text
menu_battle_help_mes4,イチかバチかの「おくのて」攻撃です！,孤注一掷的「杀手锏」攻击！,ram_1006_menu,text
menu_battle_help_mes5,誰のきりふだを使いますか？,使用谁的王牌？,ram_1006_menu,text
menu_battle_help_mes6#0,どのきりふだを使うかを決まったら,决定好要使用哪张王牌后，,ram_1006_menu,text
menu_battle_help_mes6#1,○をしてください！,请按○！,ram_1006_menu,text
menu_battle_help_mes7#0,いっぺんに1人から3人まで,一次可以从1人到3人,ram_1006_menu,text
menu_battle_help_mes7#1,エッグモンスターをー喚することができます！,召唤蛋怪！,ram_1006_menu,text
menu_battle_help_mes8#0,それぞれー喚したいエッグモンスターを選んだら,各自选好要召唤的蛋怪后，,ram_1006_menu,text
menu_battle_help_mes8#1,○をしてください！,请按○！,ram_1006_menu,text
menu_battle_help_mes9#0,ー喚するエッグモンスターを決めたら,决定好要召唤的蛋怪后，,ram_1006_menu,text
menu_battle_help_mes9#1,一番討の「決定」でー喚開始です！,用最下方的「确定」开始召唤！,ram_1006_menu,text
menu_composite_eggmon_command#0,こうたい,替换,ram_1006_menu,text
menu_composite_eggmon_command#1,はずす,卸下,ram_1006_menu,text
menu_composite_eggmon_no_leader#0,リーダーになるエッグモンスターを,请把要当队长的蛋怪,ram_1006_menu,text
menu_composite_eggmon_no_leader#1,ユニットの中配に字臨してください！,配置到小队中央！,ram_1006_menu,text
menu_composite_eggmon_platoon_select#0,場・入に出入させるエッグモンスターを編弱してください！,请编成要派上战场的蛋怪！,ram_1006_menu,text
menu_composite_eggmon_platoon_select#1,で編弱を終了します！,在此结束编成！,ram_1006_menu,text
menu_composite_eggmon_term#0,これでエッグモンスターの編弱を終了します！,就此结束蛋怪编成！,ram_1006_menu,text
menu_composite_eggmon_term#1,よろしいですか？,可以吗？,ram_1006_menu,text
menu_dung_send_really,この部隊でよろしいですか？,用这支部队可以吗？,ram_1006_menu,text
menu_dung_send_select#0,力激する部隊を,请选择要,ram_1006_menu,text
menu_dung_send_select#1,選択してください！,出击的部队！,ram_1006_menu,text
menu_dung_trump_dump_error,それを捨てるなんてとんでもない。,把那个丢掉也太离谱了。,ram_1006_menu,text
menu_dung_trump_need_target,他数になるが・くにいません！,附近没有能当作对象的人！,ram_1006_menu,text
menu_egg_recover_cm_all#0,すべてのエグモンを,选择全部,ram_1006_menu,text
menu_egg_recover_cm_all#1,選択します！,蛋怪！,ram_1006_menu,text
menu_egg_recover_cm_recover,これでよろしいですか？,这样可以吗？,ram_1006_menu,text
