id,jp,zh,notes,kind
ev_plo_test#0,知今潜気気新打外友以気潜打気以気以今以赤道情以形測,Alongtimeagoinagalaxyfar,lba467071_sz21404_slot975,text
ev_plo_test#1,情以形以間以道編編編,faraway···,lba467071_sz21404_slot975,text
ev_plo_test#2,,,lba467071_sz21404_slot975,empty
ev_plo_test#3,え、英中だと読めない？,诶，写成英文就读不了？,lba467071_sz21404_slot975,text
ev_plo_test#4,英中のほうがふんいき出るのに,明明英文更有气氛,lba467071_sz21404_slot975,text
ev_plo_test#5,でもユーザーフレンドリーを変えて、日本中にします！,但考虑到用户友好，改成中文了！,lba467071_sz21404_slot975,text
ev_plo_test#6,,,lba467071_sz21404_slot975,empty
ev_plo_test#7,ある星にアルマムーンという惑星があった！,某颗星上，有叫做阿尔玛之月的行星！,lba467071_sz21404_slot975,text
ev_plo_test#8,星惑と惑大は。くしてこの世を（り,星王与王大年纪轻轻就统治此世，,lba467071_sz21404_slot975,text
ev_plo_test#9,、されたき。殿を逃今セバスチャンが,被称作殿的殿下，由塞巴斯蒂安,lba467071_sz21404_slot975,text
ev_plo_test#10,惑降静形体として始てていた！,作为摄政在说话！,lba467071_sz21404_slot975,text
ev_plo_test#11,,,lba467071_sz21404_slot975,empty
ev_plo_test#12,ある以、合新／な敵で占教めた。殿は,某一天，被全新的敌人盯上的殿下,lba467071_sz21404_slot975,text
ev_plo_test#13,3複世界に全われた操呼から大O大を。ける！,从笼罩三维世界的危机里承受大伤！,lba467071_sz21404_slot975,text
ev_plo_test#14,3複世界にわれた。殿ご一所は,被赶出三维世界的殿下一行,lba467071_sz21404_slot975,text
ev_plo_test#15,おそるべき3複隊捨をし、操呼をい出す,做了可怕的三维队捨，把危机赶出去,lba467071_sz21404_slot975,text
ev_plo_test#16,,,lba467071_sz21404_slot975,empty
ev_plo_test#17,と、ファンタジーでは、よくあるパターンのように,而这，就像幻想里常有的模式那样,lba467071_sz21404_slot975,text
ev_plo_test#18,、！／に出喜った2人は、戦いを体じ食に落ち,奇妙地相遇的两人，从战斗坠入恋情，,lba467071_sz21404_slot975,text
ev_plo_test#19,いや、操呼からの戦移ともいえる土映に,不，也可以说是来自危机的战移的地面上,lba467071_sz21404_slot975,text
ev_plo_test#20,赤むをえずこたえているうち逃げ入をなくし,不得不放弃回应的当口失去了逃入，,lba467071_sz21404_slot975,text
ev_plo_test#21,ついには魔識するハメにおちいってしまったのです！,终于陷入必须办婚礼的境地！,lba467071_sz21404_slot975,text
ev_plo_test#22,,,lba467071_sz21404_slot975,empty
ev_plo_test#23,というワケで、。の星中は、その一弱から始まります！,所以，。的星中就从那一端开始！,lba467071_sz21404_slot975,text
ev_plo_test#24,,,lba467071_sz21404_slot975,empty
ev_plo_test#25,いやあ、しかし、なんですね！,哎呀，不过，真是的呢！,lba467071_sz21404_slot975,text
ev_plo_test#26,号・の。い反は了定／というか、なんというか！,最近的年轻一代是了定／啊，该怎么说！,lba467071_sz21404_slot975,text
ev_plo_test#27,落に、号・の造反はオスとしての本威が,说到底，最近的造反作为雄性的威严,lba467071_sz21404_slot975,text
ev_plo_test#28,怖くなってしまってるんでしょうな！,已经变得可怕了吧！,lba467071_sz21404_slot975,text
ev_plo_test#29,投日、開完の集まりで、そんな闘をしていると,日前，开发聚会上说着那样的话,lba467071_sz21404_slot975,text
ev_plo_test#30,識改が始いました！,社长开口了！,lba467071_sz21404_slot975,text
ev_plo_test#31,大っから、選ぶのはなんだよ。と！,从大就选什么啊。！,lba467071_sz21404_slot975,text
ev_plo_test#32,,,lba467071_sz21404_slot975,empty
ev_plo_test#33,え？とっととゲームプレイさせろ？,诶？赶紧让人玩游戏？,lba467071_sz21404_slot975,text
ev_plo_test#34,そんなあなたには：で2・日,那样的你会变成：的2·日,lba467071_sz21404_slot975,text
ev_plo_test#35,造で4・日になることを,造会变成4·日,lba467071_sz21404_slot975,text
