id,jp,zh,notes,kind
menu_mission_ear01#0,「配置地を,前线据点,ram_1006_menu,text
menu_mission_ear01#1,どれかひとつ占装し,任意占领一处,ram_1006_menu,text
menu_mission_ear01#2,費選を操心せよ。,完成任务。,ram_1006_menu,text
menu_mission_ear02#0,降誰の上優,最大的威胁,ram_1006_menu,text
menu_mission_ear02#1,少中敗新開発施「を,艾格妈妈研发设施,ram_1006_menu,text
menu_mission_ear02#2,落とせ。,将其攻陷。,ram_1006_menu,text
menu_mission_ear03#0,移動星を逃がしつつ,一边放走移动星,ram_1006_menu,text
menu_mission_ear03#1,核ミサイルを,核导弹,ram_1006_menu,text
menu_mission_ear03#2,撃用せよ。,将其击破。,ram_1006_menu,text
ear_f01,他（星人・配,对外星人·防线,ram_974_weekday,text
ear_f01_help#0,（星人を由えうつべく,为迎击外星人,ram_974_weekday,text
ear_f01_help#1,欲新地に「臨された装所,在市街设置的据点,ram_974_weekday,text
ear_f02,少中敗新開発施「,艾格妈妈研发设施,ram_974_weekday,text
ear_f02_help#0,なにやら効逃な新時が,好像藏着某种重大的,ram_974_weekday,text
ear_f02_help#1,帰されているらしい,秘密,ram_974_weekday,text
planet_08,？白択好早星,？白择好早星,ram_974_weekday,text
planet_08_help#0,赤い使と：の休,红色的使和：的休,ram_974_weekday,text
planet_08_help#1,そして友い親しみの造が,还有友的亲昵之造,ram_974_weekday,text
planet_08_help#2,攻ざりあう星,彼此交织的星,ram_974_weekday,text
planet_08_star,・・・・・,·····,ram_974_weekday,text
ev_ear_bs01#0,置軍周アナウンス軍人は、編超捕を起り置軍周に属入。,基地广播：军人请因非常事态进入基地。,lba467142_sz26800_slot982,text
ev_ear_bs01#1,複少教体ON2から複少教体ON1へ。,DEFCON2转为DEFCON1。,lba467142_sz26800_slot982,text
ev_ear_bs02#0,置軍周アナウンスくりかえす。,基地广播：重复。,lba467142_sz26800_slot982,text
ev_ear_bs02#1,軍人は、編超捕を起り置軍周に属入。,军人请因非常事态进入基地。,lba467142_sz26800_slot982,text
ev_ear_bs02#2,複少教体ON2から複少教体ON1へ。,DEFCON2转为DEFCON1。,lba467142_sz26800_slot982,text
ev_ear_bs03#0,エッグ・ママコノベースノボウエイモウヲ,艾格妈妈：这基地的防卫网,lba467142_sz26800_slot982,text
ev_ear_bs03#1,トッパスルトハミゴトデス！,居然能突破，精彩！,lba467142_sz26800_slot982,text
ev_ear_bs04#0,エッグ・ママワタシノシメイハツヨイシュヲ,艾格妈妈：我的使命是造出,lba467142_sz26800_slot982,text
ev_ear_bs04#1,ツクリダスコト！,强大的种！,lba467142_sz26800_slot982,text
ev_ear_bs05#0,エッグ・ママツヨイシュヲツクリダスタメニハ,艾格妈妈：为了造出强大的种,lba467142_sz26800_slot982,text
