id,jp,zh,notes,kind
menu_mission_sun01#0,ロボット入の,攻陷机器人军的,ram_1006_menu,text
menu_mission_sun01#1,星を落とし,星球，,ram_1006_menu,text
menu_mission_sun01#2,道を力りひらけ。,打开道路。,ram_1006_menu,text
menu_mission_sun02#0,の動きに,一边提防,ram_1006_menu,text
menu_mission_sun02#1,（）をはらいつつ,对方的动向，,ram_1006_menu,text
menu_mission_sun02#2,魔星へ攻めこめ。,攻入头目星。,ram_1006_menu,text
menu_tutorial_sun_01#0,セバスチャン見…りの情報によれば,塞巴斯蒂安：据侦察情报，,ram_1006_menu,text
menu_tutorial_sun_01#1,怪の由からナゾのがあらわれ,陨石方向出现了谜之存在，,ram_1006_menu,text
menu_tutorial_sun_01#2,あたりをうろついているようですじゃ。,正在附近徘徊的说。,ram_1006_menu,text
menu_tutorial_sun_02#0,セバスチャン怪の由の落討地所は、新大！,塞巴斯蒂安：陨石坠落地点，是新大陆！,ram_1006_menu,text
menu_tutorial_sun_02#1,そこまでは、ナゾのを撃用して,到那里为止，必须利用谜之存在,ram_1006_menu,text
menu_tutorial_sun_02#2,進んでゆかねばなりませぬ。,前进才行。,ram_1006_menu,text
planet_00,星アルマムーン,星·阿尔玛之月,ram_974_weekday,text
planet_00_help#0,アルマムーンの人激が悩む,阿尔玛之月人民安居的,ram_974_weekday,text
planet_00_help#1,惑近勇かな星！,自然丰饶的星球！,ram_974_weekday,text
planet_00_help#2,半熟英雄の中姿に降臨する,降临在半熟英雄的中心,ram_974_weekday,text
planet_00_star,・,·,ram_974_weekday,text
sun_f01,アルマムーン,阿尔玛之月,ram_974_weekday,text
sun_f01_help#0,アルマムーン降壊の,阿尔玛之月王国，,ram_974_weekday,text
sun_f01_help#1,新持に降臨する壊,降临于新世界的国家,ram_974_weekday,text
sun_f02,怪の由落討地所,陨石坠落处,ram_974_weekday,text
sun_f02_help#0,見知らぬ怪の由が,不知名的陨石,ram_974_weekday,text
sun_f02_help#1,落討した地所,落下的场所,ram_974_weekday,text
sun_f03,静かなる撤,寂静的洞穴,ram_974_weekday,text
sun_f03_help#0,号・になって発見された,最近才被发现的,ram_974_weekday,text
sun_f03_help#1,ダンジョンへの入択,迷宫入口,ram_974_weekday,text
sun_f04,場・入,战场,ram_974_weekday,text
sun_f04_help#0,どこからか出現した,不知从哪出现的,ram_974_weekday,text
sun_f04_help#1,つわものどもが集う地,强者们聚集之地,ram_974_weekday,text
ev_sun_bs01#0,セバスチャンおどろきましたな。,塞巴斯蒂安：吓了一跳呢。,lba467071_sz21404_slot975,text
ev_sun_bs01#1,この怪の由、空中じかけのようですぞ。,这颗陨石，像是机械装置的说。,lba467071_sz21404_slot975,text
ev_sun_bs02,？？？？ケイサンドオリ！,？？？？计算完毕！,lba467071_sz21404_slot975,text
ev_sun_bs03#0,？？？？ヤハリコノワクセイニモ,？？？？果然这颗惑星上,lba467071_sz21404_slot975,text
ev_sun_bs03#1,タマゴヲモツセイメイタイガイタ！,也有持蛋的生命体！,lba467071_sz21404_slot975,text
ev_sun_bs04,セバスチャンなに。？,塞巴斯蒂安：什么？,lba467071_sz21404_slot975,text
ev_sun_bs05,セバスチャンきさまもたまごを。？,塞巴斯蒂安：你也有蛋？,lba467071_sz21404_slot975,text
ev_sun_bs06#0,セバスチャン熟逃めされるな、殿。,塞巴斯蒂安：别被小看了，殿下。,lba467071_sz21404_slot975,text
ev_sun_bs06#1,われわれもたまごを。,我们也有蛋。,lba467071_sz21404_slot975,text
ev_sun_bs07#0,うむっ。,嗯。,lba467071_sz21404_slot975,text
