id,jp,zh,notes,kind
menu_mission_thu01a#0,ヘビの周熟で,用蛇的循环,ram_1006_menu,text
menu_mission_thu01a#1,【造の熟を,引出混合之光，,ram_1006_menu,text
menu_mission_thu01a#2,復りだせ。,将其引出。,ram_1006_menu,text
menu_mission_thu01b#0,現れた道をたどり,沿着出现的道路,ram_1006_menu,text
menu_mission_thu01b#1,本装地へと,向本据地,ram_1006_menu,text
menu_mission_thu01b#2,攻めこめ。,攻入。,ram_1006_menu,text
menu_mission_thu02a#0,クモの初映の状を,把蜘蛛出现的状况,ram_1006_menu,text
menu_mission_thu02a#1,定められた全に,在规定的回合内,ram_1006_menu,text
menu_mission_thu02a#2,】でろ。,解决掉。,ram_1006_menu,text
menu_mission_thu02b#0,現れた道をたどり,沿着出现的道路,ram_1006_menu,text
menu_mission_thu02b#1,本装地へと,向本据地,ram_1006_menu,text
menu_mission_thu02b#2,攻めこめ。,攻入。,ram_1006_menu,text
menu_mission_thu03a#0,ヘビの周熟で,用蛇的循环,ram_1006_menu,text
menu_mission_thu03a#1,赤殿き熟を,引出紫光，,ram_1006_menu,text
menu_mission_thu03a#2,復りだせ。,将其引出。,ram_1006_menu,text
menu_mission_thu03b#0,現れた道をたどり,沿着出现的道路,ram_1006_menu,text
menu_mission_thu03b#1,本装地へと,向本据地,ram_1006_menu,text
menu_mission_thu03b#2,攻めこめ。,攻入。,ram_1006_menu,text
menu_mission_thu04a#0,クモの初映の状を,把蜘蛛出现的状况,ram_1006_menu,text
menu_mission_thu04a#1,定められた全に,在规定的回合内,ram_1006_menu,text
menu_mission_thu04a#2,】でろ。,解决掉。,ram_1006_menu,text
menu_mission_thu04b#0,現れた道をたどり,沿着出现的道路,ram_1006_menu,text
menu_mission_thu04b#1,本装地へと,向本据地,ram_1006_menu,text
menu_mission_thu04b#2,攻めこめ。,攻入。,ram_1006_menu,text
menu_mission_thu05#0,星の○を力い,追上星球的王，,ram_1006_menu,text
menu_mission_thu05#1,星へと攻めこめ。,攻入那颗星。,ram_1006_menu,text
planet_04,星エルム,星·榆木,ram_974_weekday,text
planet_04_help#0,モンスターが来りあるく,怪物走来走去的,ram_974_weekday,text
planet_04_help#1,赤殿い熟に投らされた星,被赤殿的熟投住的星,ram_974_weekday,text
planet_04_help#2,人心の姿は感じられない,感觉不到人的姿,ram_974_weekday,text
planet_04_star,・・,··,ram_974_weekday,text
thu_f01,熟の優初1,森之优先1,ram_974_weekday,text
thu_f01_help#0,入誰する操のオブジェから,从入谁的操之造物,ram_974_weekday,text
thu_f01_help#1,・大／な装いすら感じる,甚至感到巨大的气息,ram_974_weekday,text
thu_f02,状の優初1,瘴之优先1,ram_974_weekday,text
thu_f02_help#0,不気活なクモの姿が,不愉快的蜘蛛之姿,ram_974_weekday,text
thu_f02_help#1,嫌まれた上映がある,有被讨厌的上映,ram_974_weekday,text
thu_f03,熟の優初2,森之优先2,ram_974_weekday,text
thu_f03_help#0,友い討に帰されていた,被归在友的下方的,ram_974_weekday,text
thu_f03_help#1,映友き連,映友之连,ram_974_weekday,text
thu_f04,状の優初2,瘴之优先2,ram_974_weekday,text
thu_f04_help#0,連に悩まう中逃なクモが,被连困扰的巨大蜘蛛,ram_974_weekday,text
thu_f04_help#1,不気活にうごめいている,不愉快地蠕动着,ram_974_weekday,text
thu_f05,欲移の始まりし連,欲移开始的连,ram_974_weekday,text
thu_f05_help#0,地生の映に英まれた,被地生之映包围的,ram_974_weekday,text
thu_f05_help#1,大気を発する中逃な連,散发大气的巨大连,ram_974_weekday,text
thu_f06,映以の事き,映以之光,ram_974_weekday,text
thu_f06_help#0,その事きが映以を復く,那光复着映以,ram_974_weekday,text
thu_f06_help#1,ダンジョンへの入択,迷宫的入口,ram_974_weekday,text
thu_f07,場・入,场所,ram_974_weekday,text
thu_f07_help#0,どこからか出現した,不知从哪出现的,ram_974_weekday,text
thu_f07_help#1,つわものどもが集う地,强者们聚集之地,ram_974_weekday,text
ev_thu_bs01#0,？？？？ようこそ！,？？？？欢迎！,lba467108_sz16880_slot979,text
ev_thu_bs01#1,この読の選星へ！,来到这座吾之惑星！,lba467108_sz16880_slot979,text
ev_thu_bs02#0,？？？？お初にお占にかかる！,？？？？初次见面，请多关照！,lba467108_sz16880_slot979,text
ev_thu_bs02#1,わが？は、ペンプティ！,吾名，彭普蒂！,lba467108_sz16880_slot979,text
ev_thu_bs03#0,？？？？人激は、読を一【の【をこめ、こう呼ぶ,？？？？世人满怀畏惧，如此称呼吾,lba467108_sz16880_slot979,text
ev_thu_bs03#1,ダーク英雄とな！,黑暗英雄！,lba467108_sz16880_slot979,text
ev_thu_bs04#0,？？？？この読のイビルエッグの,？？？？吾这颗邪恶蛋的,lba467108_sz16880_slot979,text
ev_thu_bs04#1,エッグモンスターが繰土をしよう！,蛋怪来做对手吧！,lba467108_sz16880_slot979,text
ev_thu_bs04_hero#0,？？？？この読のイビルエッグの,？？？？吾这颗邪恶蛋的,lba467108_sz16880_slot979,text
ev_thu_bs04_hero#1,エッグモンスターが繰土をしよう！,蛋怪来做对手吧！,lba467108_sz16880_slot979,text
ev_thu_bs05#0,うむっ。,嗯。,lba467108_sz16880_slot979,text
ev_thu_bs05#1,いびる？,欺负？,lba467108_sz16880_slot979,text
ev_thu_bs06,ペンプティ誰喜を）活するイビルだ！,彭普蒂：是意为恶意的Evil！,lba467108_sz16880_slot979,text
ev_thu_bs07#0,ルーナエ修い。,鲁奈：来吧。,lba467108_sz16880_slot979,text
ev_thu_bs07#1,大誰なたまごに、わがピンクエッグは,面对大恶之蛋，吾的粉红蛋,lba467108_sz16880_slot979,text
ev_thu_bs07#2,負けはせん。,不会输。,lba467108_sz16880_slot979,text
ev_thu_bs08#0,マルティスおあつらえ（きだぜ,马蒂斯：正合我意,lba467108_sz16880_slot979,text
ev_thu_bs08#1,オレのパワーエッグの繰土にはな。,做我力量蛋的对手啊。,lba467108_sz16880_slot979,text
ev_thu_bs09,メルクリィ！,梅尔克里！,lba467108_sz16880_slot979,text
ev_thu_bs10,メルクリィおぬし！,梅尔克里：你这家伙！,lba467108_sz16880_slot979,text
ev_thu_bs11#0,メルクリィイビルの？を中るわりに,梅尔克里：口称邪恶之名,lba467108_sz16880_slot979,text
ev_thu_bs11#1,大気が感じられぬぞ！,却感觉不到霸气哪！,lba467108_sz16880_slot979,text
ev_thu_bs12#0,フライデーおもろいやないかい。,弗莱迪：有趣嘛。,lba467108_sz16880_slot979,text
ev_thu_bs12#1,誰喜のような敗さってのがどんなモンか,恶意一般的强大究竟是什么,lba467108_sz16880_slot979,text
ev_thu_bs12#2,眠えてもらおうやないかい。,就让俺见识见识吧。,lba467108_sz16880_slot979,text
ev_thu_bs13#0,ペンプティ怖【にふるえ,彭普蒂：因恐惧而颤抖,lba467108_sz16880_slot979,text
ev_thu_bs13#1,終・に打ちひしがれるがよい！,被绝望击垮吧！,lba467108_sz16880_slot979,text
ev_thu_bs14#0,ペンプティ不所不死のーァンパイアの動を降く,彭普蒂：不老不死的吸血鬼之血降临,lba467108_sz16880_slot979,text
ev_thu_bs14#1,この読に。,于吾身。,lba467108_sz16880_slot979,text
ev_thu_bs_sebath#0,セバスチャンどうも生造がよくありませんな！,塞巴斯蒂安：气色可不太好呢！,lba467108_sz16880_slot979,text
ev_thu_bs_sebath#1,このような選優いところに,都是因为窝在这种,lba467108_sz16880_slot979,text
ev_thu_bs_sebath#2,降きこもっておられるからですぞ。。,阴暗地方的说。。,lba467108_sz16880_slot979,text
ev_thu_bs_sebath2#0,ペンプティそんなことは,彭普蒂：那种事,lba467108_sz16880_slot979,text
ev_thu_bs_sebath2#1,ほうっておいてもらおう！,就请放着别管！,lba467108_sz16880_slot979,text
ev_thu_cl01,ペンプティフ。,彭普蒂：呼。,lba467108_sz16880_slot979,text
ev_thu_cl02,ペンプティうわあ。。ち、動だあ。。,彭普蒂：哇啊。。血、在喷啊。。,lba467108_sz16880_slot979,text
ev_thu_cl03,セバスチャンふ、不所不死なのでは！,塞巴斯蒂安：不、不是不老不死吗！,lba467108_sz16880_slot979,text
ev_thu_cl04,ペンプティフ！,彭普蒂：呼！,lba467108_sz16880_slot979,text
ev_thu_cl05#0,ーァンペンプティは、不所不死だけど,凡：彭普蒂是不老不死,lba467108_sz16880_slot979,text
ev_thu_cl05#1,動には怖いんだ。,可是怕血。,lba467108_sz16880_slot979,text
ev_thu_cl06,マルティスコウモリがしゃべった。？,马蒂斯：蝙蝠说话了。？,lba467108_sz16880_slot979,text
ev_thu_cl07,パイおかげで生き動も飲めなくて！,派：害得活血也喝不了！,lba467108_sz16880_slot979,text
ev_thu_cl08#0,ヤーブラッドオレンジジュースばっか,雅：净喝血橙汁,lba467108_sz16880_slot979,text
ev_thu_cl08#1,飲んでるんで,所以,lba467108_sz16880_slot979,text
ev_thu_cl09,ーァン生造がいつも誰いんだ！,凡：气色总是很差！,lba467108_sz16880_slot979,text
ev_thu_cl10,ペンプティよ、よけいな占を始うな！,彭普蒂：别、别多嘴！,lba467108_sz16880_slot979,text
ev_thu_cl11#0,好き嫌いはよくない,偏食可不好,lba467108_sz16880_slot979,text
ev_thu_cl11#1,造が嫌使？,谁讨厌蔬菜？,lba467108_sz16880_slot979,text
ev_thu_cl12#0,セバスチャン人のことが始えるのですか。,塞巴斯蒂安：说得了别人吗。,lba467108_sz16880_slot979,text
ev_thu_cl12#1,殿は。？,殿下呢。？,lba467108_sz16880_slot979,text
ev_thu_cl13#0,セバスチャンポテチとファーストフードばかり,塞巴斯蒂安：净吃薯片和快餐,lba467108_sz16880_slot979,text
ev_thu_cl13#1,感べているから、力がジャンクになるのです。,力量都会变成垃圾食品的。,lba467108_sz16880_slot979,text
ev_thu_cl14,ペンプティ人の闘は、「いていろ！,彭普蒂：别人的话，给我闭嘴！,lba467108_sz16880_slot979,text
ev_thu_cl15#0,セバスチャンしかし、この星は喜星ばかりで,塞巴斯蒂安：可是，这颗星尽是怪物,lba467108_sz16880_slot979,text
ev_thu_cl15#1,人の姿が見当たりませんな！,看不到人的身影呢！,lba467108_sz16880_slot979,text
ev_thu_cl16p,パイオレたち人心だぞ。,派：我们可是人类。,lba467108_sz16880_slot979,text
ev_thu_cl16v,ーァンふざけるな。,凡：开什么玩笑。,lba467108_sz16880_slot979,text
ev_thu_cl16y,ヤーもとだけど！,雅：以前是！,lba467108_sz16880_slot979,text
ev_thu_cl17,ルーナエもと？,鲁奈：以前？,lba467108_sz16880_slot979,text
ev_thu_cl18#0,フライデーそのへんに新時がありそうやな！,弗莱迪：那里好像有真相啊！,lba467108_sz16880_slot979,text
ev_thu_cl18#1,この星の数激のトラップ,这颗星无数的陷阱,lba467108_sz16880_slot979,text
ev_thu_cl18#2,人心が復ったとしか思えへん！,只能想成是人类做的！,lba467108_sz16880_slot979,text
ev_thu_cl19,セバスチャンどういうことですかな？,塞巴斯蒂安：这是怎么回事呢？,lba467108_sz16880_slot979,text
ev_thu_cl20#0,ペンプティもう、ずいぶん「のことだ！,彭普蒂：已经是很久以前的事了！,lba467108_sz16880_slot979,text
ev_thu_cl20#1,ある編姫がバイオテクノロジーで】連将を,某位科学者用生物技术把细菌兵器,lba467108_sz16880_slot979,text
ev_thu_cl20#2,開発した！,开发了出来！,lba467108_sz16880_slot979,text
ev_thu_cl21#0,ペンプティだが、その敗新は逃ーし,彭普蒂：可是那解析失败了,lba467108_sz16880_slot979,text
ev_thu_cl21#1,人の喜星心を呼んでしまった！,唤来了人的怪物化！,lba467108_sz16880_slot979,text
ev_thu_cl22#0,ペンプティウィルスは、またたく心に道まり,彭普蒂：病毒转眼间蔓延开来,lba467108_sz16880_slot979,text
ev_thu_cl22#1,さらに進心と消（をくりかえした！,进一步反复进化与突变！,lba467108_sz16880_slot979,text
ev_thu_cl23#0,ペンプティそして人激は、さまざまな姿の喜星に,彭普蒂：于是人们变成了各种样子的怪物,lba467108_sz16880_slot979,text
ev_thu_cl23#1,消測していった！,变貌而去！,lba467108_sz16880_slot979,text
ev_thu_cl24,フライデーなんやら、どっかで「いたような闘やな！,弗莱迪：总觉得在哪听过这种话啊！,lba467108_sz16880_slot979,text
ev_thu_cl25p,パイこの人も喜星心されて。,派：这人也被怪物化了。,lba467108_sz16880_slot979,text
ev_thu_cl25v,ーァンあ。,凡：啊。,lba467108_sz16880_slot979,text
ev_thu_cl25y,ヤーかわいそうに！,雅：好可怜！,lba467108_sz16880_slot979,text
ev_thu_cl26#0,カトリイネバカ始ってんじゃないわよ。,卡特莉·伊奈：别说傻话。,lba467108_sz16880_slot979,text
ev_thu_cl26#1,あたし繰は一強100持人心よ。,我可是百分之百的人类哟。,lba467108_sz16880_slot979,text
ev_thu_cl27p,パイオレたち、てっきり,派：我们还以为一定是,lba467108_sz16880_slot979,text
ev_thu_cl27v,ーァンえ。？,凡：诶。？,lba467108_sz16880_slot979,text
ev_thu_cl27y,ヤーウーパールーパー入人かと！,雅：六角恐龙型生物呢！,lba467108_sz16880_slot979,text
ev_thu_cl28,マルティスなっ。だろっ。？,马蒂斯：对吧。对吧。？,lba467108_sz16880_slot979,text
ev_thu_cl29#0,カトリイネかわいそうに！,卡特莉·伊奈：好可怜！,lba467108_sz16880_slot979,text
ev_thu_cl29#1,シューアクな喜星ばかり見てきたせいで,尽看着丑恶的怪物,lba467108_sz16880_slot979,text
ev_thu_cl29#2,美／感教がハタンしちゃってるのね！,美感教育都破产了呢！,lba467108_sz16880_slot979,text
ev_thu_cl30,フライデー！,弗莱迪！,lba467108_sz16880_slot979,text
ev_thu_cl31#0,ペンプティこのコウモリたちは,彭普蒂：这些蝙蝠,lba467108_sz16880_slot979,text
ev_thu_cl31#1,喜星心した開から逃げ,是从怪物化的父母身边逃走,lba467108_sz16880_slot979,text
ev_thu_cl31#2,生き、っていた終末たちだ！,活下来的孩子们！,lba467108_sz16880_slot979,text
ev_thu_cl32p,パイオレたち、喜星からかくれて,派：我们躲着怪物,lba467108_sz16880_slot979,text
ev_thu_cl32v,ーァンパパもママも喜星になって,凡：爸爸妈妈也变成了怪物,lba467108_sz16880_slot979,text
ev_thu_cl32y,ヤー逃げ書けてたんだ！,雅：逃出来的！,lba467108_sz16880_slot979,text
ev_thu_cl33#0,そんな,怎么会,lba467108_sz16880_slot979,text
ev_thu_cl33#1,それで？,然后呢？,lba467108_sz16880_slot979,text
ev_thu_cl34,セバスチャンむごい闘じゃ！,塞巴斯蒂安：好残酷的话的说！,lba467108_sz16880_slot979,text
ev_thu_cl35p,パイペンプティが現れて,派：彭普蒂出现,lba467108_sz16880_slot979,text
ev_thu_cl35v,ーァンぼくらも喜星心しそうになった待,凡：我们也快要怪物化的时候,lba467108_sz16880_slot979,text
ev_thu_cl35y,ヤー軍けてくれたんだよ。,雅：救了我们。,lba467108_sz16880_slot979,text
ev_thu_cl36#0,ペンプティだが完全には軍けられなかった！,彭普蒂：可是没能完全救下来！,lba467108_sz16880_slot979,text
ev_thu_cl36#1,この終たちの姿は、このとおりコウモリに,这些孩子的姿态，就像这样变成了,lba467108_sz16880_slot979,text
ev_thu_cl36#2,なってしまった！,蝙蝠！,lba467108_sz16880_slot979,text
ev_thu_cl37#0,ペンプティ読は、喜星心された人激を連に開す,彭普蒂：吾在解析如何把怪物化的人们,lba467108_sz16880_slot979,text
ev_thu_cl37#1,敗新をしていた！,变回原样！,lba467108_sz16880_slot979,text
ev_thu_cl37#2,だが敗新は、置進を定めた！,可是解析遇到了瓶颈！,lba467108_sz16880_slot979,text
ev_thu_cl38#0,ペンプティ喜星心のウイルスは、おそるべき日強で,彭普蒂：怪物化的病毒以可怕的速度,lba467108_sz16880_slot979,text
ev_thu_cl38#1,進心と体近消（をくりかえし,反复进化与急剧突变,lba467108_sz16880_slot979,text
ev_thu_cl38#2,初殿な出へと疲葉を道げていたからだ！,向着崭新的出路延伸枝叶！,lba467108_sz16880_slot979,text
ev_thu_cl39#0,ペンプティ終・のふちにいた読は、ーァンパイアにおそわれた！,彭普蒂：在绝望边缘的吾，被吸血鬼袭击了！,lba467108_sz16880_slot979,text
ev_thu_cl39#1,読も喜星になる、当近の報いだと思った！,吾也会变成怪物，以为是当然的报应！,lba467108_sz16880_slot979,text
ev_thu_cl40,セバスチャン当近？,塞巴斯蒂安：当然？,lba467108_sz16880_slot979,text
ev_thu_cl41#0,ペンプティ読こそが,彭普蒂：因为正是吾,lba467108_sz16880_slot979,text
ev_thu_cl41#1,この星を喜星だらけにしてしまった,把这颗星变成满是怪物的,lba467108_sz16880_slot979,text
ev_thu_cl41#2,】連将の開発体だからだ！,细菌兵器的开发者！,lba467108_sz16880_slot979,text
ev_thu_cl42,マルティスなんだって。？,马蒂斯：你说什么。？,lba467108_sz16880_slot979,text
ev_thu_cl43p,パイみんながバケモノになったのは,派：大家都变成怪物,lba467108_sz16880_slot979,text
ev_thu_cl43v,ーァンあんたのせいか。,凡：是你的错吗。,lba467108_sz16880_slot979,text
ev_thu_cl43y,ヤーじゃあ。,雅：那么。,lba467108_sz16880_slot979,text
ev_thu_cl44#0,ペンプティ読もーァンパイアになる！,彭普蒂：吾也要变成吸血鬼！,lba467108_sz16880_slot979,text
ev_thu_cl44#1,不所不死になり、所修姿起弱好する！,变得不老不死，永远后悔！,lba467108_sz16880_slot979,text
ev_thu_cl44#2,それが読の力した今への撃だと教回した！,那是对吾所造成的今日的惩罚，吾做好了觉悟！,lba467108_sz16880_slot979,text
ev_thu_cl45#0,ペンプティそう思ったとき、このイビルエッグが,彭普蒂：这么想的时候，这颗邪恶蛋,lba467108_sz16880_slot979,text
ev_thu_cl45#1,読の土に現れたのだ！,出现在了吾的手上！,lba467108_sz16880_slot979,text
ev_thu_cl46#0,ペンプティ不思半なたまごだ！,彭普蒂：不可思议的蛋！,lba467108_sz16880_slot979,text
ev_thu_cl46#1,このイビルエッグには、喜星心の進所をおさえ,这颗邪恶蛋，能抑制怪物化的进行,lba467108_sz16880_slot979,text
ev_thu_cl46#2,気合を明定させる力がある！,安定气合！,lba467108_sz16880_slot979,text
ev_thu_cl47#0,フライデーワイの星の空中たちに,弗莱迪：让俺那颗星的人们,lba467108_sz16880_slot979,text
ev_thu_cl47#1,熟空体への夢を先かせたのも,怀抱成为机械体之梦的,lba467108_sz16880_slot979,text
ev_thu_cl47#2,このサイバーエッグやった！,也是这颗电子蛋！,lba467108_sz16880_slot979,text
ev_thu_cl48p,パイこいつを中じるな。,派：别信这家伙。,lba467108_sz16880_slot979,text
ev_thu_cl48v,ーァンやめろ。,凡：停下。,lba467108_sz16880_slot979,text
ev_thu_cl48y,ヤーそれで、ボクら軍かったんだ！,雅：可是因此我们得救了！,lba467108_sz16880_slot979,text
ev_thu_cl49v,ーァン！,凡！,lba467108_sz16880_slot979,text
ev_thu_cl49y,ヤーでも、軍けてくれた！,雅：可是，救了我们！,lba467108_sz16880_slot979,text
ev_thu_cl50,セバスチャン！,塞巴斯蒂安！,lba467108_sz16880_slot979,text
ev_thu_cl51#0,怖してあげなよ,原谅他吧,lba467108_sz16880_slot979,text
ev_thu_cl51#1,造がどうなってるの？,现在怎样了？,lba467108_sz16880_slot979,text
ev_thu_cl52p#0,パイパパも、ママも。友超も。,派：爸爸也，妈妈也。朋友也。,lba467108_sz16880_slot979,text
ev_thu_cl52p#1,喜星にされ、連しあったんだぞ。,被变成怪物，互相残杀了。,lba467108_sz16880_slot979,text
ev_thu_cl52v,ーァンかんたんに始うな。,凡：别说得那么轻巧。,lba467108_sz16880_slot979,text
ev_thu_cl53,ヤー！,雅！,lba467108_sz16880_slot979,text
ev_thu_cl54,ペンプティ！,彭普蒂！,lba467108_sz16880_slot979,text
ev_thu_cl55#0,セバスチャン（シーッ。,塞巴斯蒂安：（嘘。,lba467108_sz16880_slot979,text
ev_thu_cl55#1,殿には,对殿下来说,lba467108_sz16880_slot979,text
ev_thu_cl55#2,自解できぬかもしれませんが,也许难以理解,lba467108_sz16880_slot979,text
ev_thu_cl56#0,セバスチャン、半熟葉上まれにみるシリアスな飛開に,塞巴斯蒂安：半熟史上罕见的严肃展开,lba467108_sz16880_slot979,text
ev_thu_cl56#1,なっているのですぞ。,正在发生的说。,lba467108_sz16880_slot979,text
ev_thu_cl56#2,ここでのボケは怖されませぬ。）,这里不许搞笑。）,lba467108_sz16880_slot979,text
ev_thu_cl57p,パイペンプティの長心なのか。？,派：这是彭普蒂的真心吗。？,lba467108_sz16880_slot979,text
ev_thu_cl57v,ーァンおまえらも、たまごを使うようじゃないか！,凡：你们不也在用蛋吗！,lba467108_sz16880_slot979,text
ev_thu_cl58#0,セバスチャンわれわれも、占情は白いますが,塞巴斯蒂安：我们也有隐情,lba467108_sz16880_slot979,text
ev_thu_cl58#1,みな不思半なたまごを土に入れておるのじゃ！,大家都把不可思议的蛋握在手里的说！,lba467108_sz16880_slot979,text
ev_thu_cl58#2,そのナゾを捨るために？をしている号中じゃ！,为了寻找那个谜，正在旅途之中的说！,lba467108_sz16880_slot979,text
ev_thu_cl59#0,ペンプティ読も,彭普蒂：吾也,lba467108_sz16880_slot979,text
ev_thu_cl59#1,連れていってはくれぬか？,能不能带上？,lba467108_sz16880_slot979,text
ev_thu_cl60#0,ペンプティこのたまごが、なぜ読の連へ現れたのか,彭普蒂：这颗蛋为何会出现在吾身边,lba467108_sz16880_slot979,text
ev_thu_cl60#1,それを知りたい！,吾想知道！,lba467108_sz16880_slot979,text
ev_thu_cl61v,ーァンやめろ。,凡：停下。,lba467108_sz16880_slot979,text
ev_thu_cl61y,ヤーペンプティ。,雅：彭普蒂。,lba467108_sz16880_slot979,text
ev_thu_cl61y2,ヤーでも。,雅：可是。,lba467108_sz16880_slot979,text
ev_thu_cl62#0,ペンプティおまえたちとこれ与上,彭普蒂：再往下也不能和你们,lba467108_sz16880_slot979,text
ev_thu_cl62#1,ともにいるわけにはいかん！,待在一起了！,lba467108_sz16880_slot979,text
ev_thu_cl63#0,ペンプティ怖しをこうてもすむことではないが,彭普蒂：即使道歉也无法了结,lba467108_sz16880_slot979,text
ev_thu_cl63#1,すまなかったな！,但对不起了！,lba467108_sz16880_slot979,text
ev_thu_cl64p,パイオレたちも所く。,派：我们也去。,lba467108_sz16880_slot979,text
ev_thu_cl64v,ーァン打てよ！,凡：等着啊！,lba467108_sz16880_slot979,text
ev_thu_cl64y,ヤーそうだよ、ペンプティは,雅：对啊，彭普蒂是,lba467108_sz16880_slot979,text
ev_thu_cl65v,ーァン白う、見…るんだ！,凡：记住，看好了！,lba467108_sz16880_slot979,text
ev_thu_cl65v2,ーァンおまえが造をするのか、見…ってやる。,凡：你要做什么，我会看着。,lba467108_sz16880_slot979,text
ev_thu_cl65y,ヤーえ？,雅：诶？,lba467108_sz16880_slot979,text
ev_thu_cl66#0,ペンプティ！,彭普蒂！,lba467108_sz16880_slot979,text
ev_thu_cl66#1,ああ、そうしてくれ！,啊啊，就那样拜托了！,lba467108_sz16880_slot979,text
