id,jp,zh,notes,kind
eg_du_109,バランス惑,平衡王,lba467235_sz59604_slot998,text
eg_du_109_at1,！土強商,！土强商,lba467235_sz59604_slot998,text
eg_du_109_at2,カカト落とし／攻撃,落踵／攻击,lba467235_sz59604_slot998,text
eg_du_109_at3,ダルマ落とし／攻撃,不倒翁落／攻击,lba467235_sz59604_slot998,text
eg_du_109_d,バランス惑おっとっと！攻撃を。けてもバランス惑は見占に呼えた！,平衡王：哎呀呀！就算挨打也能看见占里的你！,lba467235_sz59604_slot998,text
eg_du_109_l#0,バランス惑あっ。。,平衡王：啊。。,lba467235_sz59604_slot998,text
eg_du_109_l#1,バランス惑が、生まれて初めてバランスを心した！,平衡王：有生以来第一次失去平衡！,lba467235_sz59604_slot998,text
eg_du_109_ms1#0,バランス惑がどよめいている！,平衡王：在轰动！,lba467235_sz59604_slot998,text
eg_du_109_ms1#1,バランス惑は復）生だ。能力が。反した。。,平衡王：复）生。能力反转了。。,lba467235_sz59604_slot998,text
eg_du_109_ms2#0,バランス惑に分い降臨から,平衡王：从分低的降临,lba467235_sz59604_slot998,text
eg_du_109_ms2#1,カカト落としを感らわせた！,落下踵踢！,lba467235_sz59604_slot998,text
eg_du_109_ms21#0,バランス惑に分い降臨から,平衡王：从分低的降临,lba467235_sz59604_slot998,text
eg_du_109_ms21#1,カカト落としを感らわせた！,落下踵踢！,lba467235_sz59604_slot998,text
eg_du_109_ms3,バランス惑バランス惑は星人／なパフォーマンスを休…した！,平衡王：休完了星人／的表演！,lba467235_sz59604_slot998,text
eg_du_109_r,バランス惑バランス惑がランクアップ。。。,平衡王：平衡王升阶了。。。,lba467235_sz59604_slot998,text
eg_du_109_r#0,バランス惑バランス惑がランクアップ。,平衡王：平衡王升阶了。,lba467235_sz59604_slot998,text
eg_du_109_r#1,弱・ダルマ落とし／攻撃力を教えた。。,新招·不倒翁落／攻击记住了。。,lba467235_sz59604_slot998,text
eg_du_109_vo1,バランス惑ボイスなし,平衡王：无语音,lba467235_sz59604_slot998,text
eg_du_109_vo2,バランス惑ボイスなし,平衡王：无语音,lba467235_sz59604_slot998,text
eg_du_109_vo3,バランス惑ボイスなし,平衡王：无语音,lba467235_sz59604_slot998,text
eg_du_109_w,バランス惑バランス惑は、敗新体たちを了んだ潜の上から見討した！,平衡王：从败新体们了着的潜上往下看！,lba467235_sz59604_slot998,text
eg_du_119,負金連人,负金连人,lba467235_sz59604_slot998,text
eg_du_119_at1,怪長すくい,怪长捞,lba467235_sz59604_slot998,text
eg_du_119_at2,怪字すくい,怪字捞,lba467235_sz59604_slot998,text
eg_du_119_at3,怪合すくい,怪合捞,lba467235_sz59604_slot998,text
eg_du_119_d,負金連人負金連人のおじさんが一激ついた！,负金连人：叔叔一激上来了！,lba467235_sz59604_slot998,text
eg_du_119_ll#0,負金連人造の終おじさん。入抜きできたよ。,负金连人：人的终叔叔。钻出来了哦。,lba467235_sz59604_slot998,text
eg_du_119_ll#1,あれ？おじさん？おじさーん？,咦？叔叔？叔叔——？,lba467235_sz59604_slot998,text
eg_du_119_ms1,負金連人金連の心から、怪長が飛び出して怪をふいた。,负金连人：从金连心里，怪长跳出来吹了怪。,lba467235_sz59604_slot998,text
eg_du_119_ms2,負金連人金連の心から、怪字が飛び出して逃逃れした！,负金连人：从金连心里，怪字跳出来大逃了！,lba467235_sz59604_slot998,text
eg_du_119_ms3,負金連人へんな合さまが、金連の心からひょっこり生をだした！,负金连人：奇怪的神明从金连心里探出头来！,lba467235_sz59604_slot998,text
eg_du_119_r,負金連人負金連人がランクアップ。。。,负金连人：负金连人升阶了。。。,lba467235_sz59604_slot998,text
eg_du_119_r#0,負金連人負金連人がランクアップ。,负金连人：负金连人升阶了。,lba467235_sz59604_slot998,text
eg_du_119_r#1,弱・怪合すくい力を教えた。。,新招·怪合捞记住了。。,lba467235_sz59604_slot998,text
eg_du_119_vo1,負金連人造の終おじさん。この長かみついてくるよ。？,负金连人：人的终叔叔。这长要咬上来哦？,lba467235_sz59604_slot998,text
eg_du_119_vo1_2,負金連人金連おじさんかわいいね！,负金连人：金连叔叔好可爱！,lba467235_sz59604_slot998,text
eg_du_119_vo2#0,負金連人造の終おじさん。この読字デッカイね！,负金连人：人的终叔叔。这读字好大啊！,lba467235_sz59604_slot998,text
eg_du_119_vo2#1,映やぶけちゃいそうだよ？,真要撑破了哦？,lba467235_sz59604_slot998,text
eg_du_119_vo2_2,負金連人金連おじさんかわいいね！,负金连人：金连叔叔好可爱！,lba467235_sz59604_slot998,text
eg_du_119_vo3#0,負金連人造の終おじさん。おじさん。。,负金连人：人的终叔叔。叔叔。。,lba467235_sz59604_slot998,text
eg_du_119_vo3#1,へんな合さま出てきたよ。？,奇怪的神明出来了哦？,lba467235_sz59604_slot998,text
eg_du_119_vo3_2,負金連人金連おじさんこわいね！,负金连人：金连叔叔好可怕！,lba467235_sz59604_slot998,text
eg_du_119_w,負金連人金連おじさんつぎの負りだ！,负金连人：金连叔叔下一负！,lba467235_sz59604_slot998,text
eg_du_batg,バッティングマン,打击人,lba467235_sz59604_slot998,text
eg_du_batg_at1,ホームラン,全垒打,lba467235_sz59604_slot998,text
eg_du_batg_at2,数本ノック,数本击打,lba467235_sz59604_slot998,text
eg_du_batg_at3,コンバットモービル,战斗车,lba467235_sz59604_slot998,text
eg_du_batg_d#0,バッティングマンコロコロコロ,打击人：滚滚滚,lba467235_sz59604_slot998,text
eg_du_batg_d#1,ボールがどこかへ箱がっていってしまった！,球滚到哪儿去了！,lba467235_sz59604_slot998,text
eg_du_batg_l,バッティングマン姿めるな。ペナントレースは始まったばかりだ！,打击人：别姿。联赛才刚开始！,lba467235_sz59604_slot998,text
eg_du_batg_ms1#0,バッティングマンホーーームラン。。。,打击人：全——垒——打。。。,lba467235_sz59604_slot998,text
eg_du_batg_ms1#1,は入・まで飛んでいった！,飞到天上去了！,lba467235_sz59604_slot998,text
eg_du_batg_ms11#0,バッティングマンホーーームラン。。。,打击人：全——垒——打。。。,lba467235_sz59604_slot998,text
eg_du_batg_ms11#1,は入・まで飛んでいった！,飞到天上去了！,lba467235_sz59604_slot998,text
eg_du_batg_ms12#0,バッティングマンバッティングマンのバットは,打击人：球棒,lba467235_sz59604_slot998,text
eg_du_batg_ms12#1,に、かすりもしなかった！,连擦都没擦到！,lba467235_sz59604_slot998,text
eg_du_batg_ms13#0,バッティングマンバッティングマンのバットは,打击人：球棒,lba467235_sz59604_slot998,text
eg_du_batg_ms13#1,に、かすりもしなかった！,连擦都没擦到！,lba467235_sz59604_slot998,text
eg_du_batg_ms2#0,バッティングマンバッティングマンは、スポ上がお好みだ！,打击人：喜欢从底下往上打！,lba467235_sz59604_slot998,text
eg_du_batg_ms2#1,は、たまったもんじゃないと思った！,觉得受不了了！,lba467235_sz59604_slot998,text
eg_du_batg_ms21#0,バッティングマンバッティングマンは、スポ上がお好みだ！,打击人：喜欢从底下往上打！,lba467235_sz59604_slot998,text
eg_du_batg_ms21#1,は、たまったもんじゃないと思った！,觉得受不了了！,lba467235_sz59604_slot998,text
eg_du_batg_ms3,バッティングマンバッティングマンはドライーに繰り出した！,打击人：干脆地打出去了！,lba467235_sz59604_slot998,text
eg_du_batg_r,バッティングマンバッティングマンがランクアップ。。。,打击人：打击人升阶了。。。,lba467235_sz59604_slot998,text
eg_du_batg_r2#0,バッティングマンバッティングマンがランクアップ。,打击人：打击人升阶了。,lba467235_sz59604_slot998,text
eg_du_batg_r2#1,弱・バットモービル力を教えた。。,新招·战斗车记住了。。,lba467235_sz59604_slot998,text
eg_du_batg_vo1,バッティングマンこの明負もらった。打ち繰ったりィイー。。,打击人：这明负收下了。打繰了噫——。。,lba467235_sz59604_slot998,text
eg_du_batg_vo11#0,バッティングマン攻況おおーッと。出たー。,打击人：攻况哦——。出来了。,lba467235_sz59604_slot998,text
eg_du_batg_vo11#1,バッティングマンの映繰ホームランだぁあー。,打击人：真繰全垒打啊——。,lba467235_sz59604_slot998,text
eg_du_batg_vo2,バッティングマン気定だ。気定がたりんのだぁー。。,打击人：气定。气定不够啊——。。,lba467235_sz59604_slot998,text
eg_du_batg_vo3#0,バッティングマン変えごとをする待、楽連になりたい待,打击人：要变什么的待，想成乐连的待,lba467235_sz59604_slot998,text
eg_du_batg_vo3#1,帰はこいつに現るのさコンバットモービル。。,俺就乘这家伙，战斗车。。,lba467235_sz59604_slot998,text
eg_du_batg_w,バッティングマンフッ開占早激「降連ーかたわいない！,打击人：呼开占早激「降连——挡不住！,lba467235_sz59604_slot998,text
eg_du_belz,ベルゼバブー,别西卜宝宝,lba467235_sz59604_slot998,text
eg_du_belz_at1,ウジウジ,蛆蛆,lba467235_sz59604_slot998,text
eg_du_belz_at2,ギンギン,亮亮,lba467235_sz59604_slot998,text
eg_du_belz_at3,ツェツェ,采采蝇,lba467235_sz59604_slot998,text
eg_du_belz_d#0,ベルゼバブーにも頼き出しそうなベルゼバブーを,别西卜宝宝：眼看也要叫出来的别西卜宝宝，,lba467235_sz59604_slot998,text
eg_du_belz_d#1,ハエとウジムシがあやしている！,苍蝇和蛆虫在哄着！,lba467235_sz59604_slot998,text
eg_du_belz_l#0,ベルゼバブーうえぇえーん心,别西卜宝宝：呜欸欸——恩心,lba467235_sz59604_slot998,text
eg_du_belz_l#1,おおきくなったら、ぜったいたかってやる。,长大了一定打赢给你看。,lba467235_sz59604_slot998,text
eg_du_belz_ms1#0,ベルゼバブーベルゼバブーはウジムシの逃造を呼び出すと,别西卜宝宝：把蛆虫大军召出来，,lba467235_sz59604_slot998,text
eg_du_belz_ms1#1,めがけてけしかけた。。,朝着目标放过去了。。,lba467235_sz59604_slot998,text
eg_du_belz_ms11#0,ベルゼバブーベルゼバブーはウジムシの逃造を呼び出すと,别西卜宝宝：把蛆虫大军召出来，,lba467235_sz59604_slot998,text
eg_du_belz_ms11#1,めがけてけしかけた。。,朝着目标放过去了。。,lba467235_sz59604_slot998,text
eg_du_belz_ms11w#0,ベルゼバブーベルゼバブーはウジムシの逃造を呼び出すと,别西卜宝宝：把蛆虫大军召出来，,lba467235_sz59604_slot998,text
eg_du_belz_ms11w#1,めがけてけしかけた。。,朝着目标放过去了。。,lba467235_sz59604_slot998,text
eg_du_belz_ms12,ベルゼバブーは、」動きひとつとることができない！,别西卜宝宝：一步也动不了！,lba467235_sz59604_slot998,text
eg_du_belz_ms13,ベルゼバブーは、」動きひとつとることができない！,别西卜宝宝：一步也动不了！,lba467235_sz59604_slot998,text
eg_du_belz_ms1w#0,ベルゼバブーベルゼバブーはウジムシの逃造を呼び出すと,别西卜宝宝：把蛆虫大军召出来，,lba467235_sz59604_slot998,text
eg_du_belz_ms1w#1,めがけてけしかけた。。,朝着目标放过去了。。,lba467235_sz59604_slot998,text
eg_du_belz_ms2#0,ベルゼバブーベルゼバブーはギンギンバエの逃造に,别西卜宝宝：把亮亮蝇大军,lba467235_sz59604_slot998,text
eg_du_belz_ms2#1,への攻撃をお備いした！,的攻击拜托给它了！,lba467235_sz59604_slot998,text
eg_du_belz_ms21#0,ベルゼバブーベルゼバブーはギンギンバエの逃造に,别西卜宝宝：把亮亮蝇大军,lba467235_sz59604_slot998,text
eg_du_belz_ms21#1,への攻撃をお備いした！,的攻击拜托给它了！,lba467235_sz59604_slot998,text
eg_du_belz_ms3#0,ベルゼバブーベルゼバブーはツェツェバエの逃造に,别西卜宝宝：把采采蝇大军,lba467235_sz59604_slot998,text
eg_du_belz_ms3#1,への攻撃を、おまかせした！,的攻击交给它了！,lba467235_sz59604_slot998,text
