id,jp,zh,notes
catori_tutorial#0,セバスチャン殿。,塞巴斯蒂安大人。,ram_1004_fmenu
catori_tutorial#1,移動星「カトリ・デ・オマール」を使っての,使用移动星「卡特莉·德·奥马尔」,ram_1004_fmenu
catori_tutorial#2,初めての戦いですな。,进行的第一次战斗的说。,ram_1004_fmenu
catori_tutorial#3,セバスチャンこのカトリ・デ・オマールは,塞巴斯蒂安：这艘卡特莉·德·奥马尔,ram_1004_fmenu
catori_tutorial#4,○で選択して「はっしん」を選ぶことで,用○选中后再选「出发」，,ram_1004_fmenu
catori_tutorial#5,さまざまな装所へと、星ごと移動ができますぞ！,就能连星球一起挪到各种据点去的说！,ram_1004_fmenu
catori_tutorial#6,セバスチャンただし、他の星や界場などの,塞巴斯蒂安：不过，其他星球或战场等,ram_1004_fmenu
catori_tutorial#7,敵星があるところには移動できませぬ！,有敌星的地方是去不了的！,ram_1004_fmenu
catori_tutorial#8,間（）ですじゃ。,很简单的说。,ram_1004_fmenu
catori_tutorial#9,セバスチャンカトリ・デ・オマールをうまく使い,塞巴斯蒂安：把卡特莉·德·奥马尔用好，,ram_1004_fmenu
catori_tutorial#10,効挑／に将軍の回。をすることで,高效地让将军轮换，,ram_1004_fmenu
catori_tutorial#11,戦いを熟了に進めるのですぞ。,就能把战局推向有利的说。,ram_1004_fmenu
fmenu_04,が、界場を発見した。,发现了战场。,ram_1004_fmenu
fmenu_annihilation_friend,たちは、全好した。,全灭了。,ram_1004_fmenu
fmenu_atom_catori#0,消,消,ram_1004_fmenu
fmenu_atom_catori#1,本…役が星字臨の本他に軍反,本……角色被配置到本星以外后反击,ram_1004_fmenu
fmenu_attack_boss,が、に戦いを挑んだ。,发起了战斗。,ram_1004_fmenu
fmenu_attack_castle#0,が、に,向,ram_1004_fmenu
fmenu_attack_castle#1,攻め雄んだ。,攻入了。,ram_1004_fmenu
fmenu_attack_empty_castle,が、を占装した。,占领了。,ram_1004_fmenu
fmenu_bossname#0,モット・クーモン,莫特·库蒙,ram_1004_fmenu
fmenu_bossname#1,モット・スーモン,莫特·苏蒙,ram_1004_fmenu
fmenu_bossname#2,反金連選,四次元军,ram_1004_fmenu
fmenu_bossname#3,オーァリウム星,奥拉利乌姆星,ram_1004_fmenu
fmenu_bossname#4,少中敗新開発施「,艾格妈妈研发设施,ram_1004_fmenu
fmenu_bossname#5,核ミサイル,核导弹,ram_1004_fmenu
fmenu_bossname#6,反金連選変進終,四次元·进化体,ram_1004_fmenu
fmenu_bossname#7,反金連選変置終,四次元·配置体,ram_1004_fmenu
fmenu_bossname#8,反金連選変力終,四次元·力量体,ram_1004_fmenu
fmenu_bossname#9,反金連選変効終,四次元·效果体,ram_1004_fmenu
fmenu_clear,フィールドクリア。,地图过关。,ram_1004_fmenu
fmenu_defence_castle,が、隊に攻め雄まれた。,遭到部队攻入。,ram_1004_fmenu
fmenu_defence_castle_any#0,が、,，,ram_1004_fmenu
fmenu_defence_castle_any#1,隊に攻め雄まれました。,遭到部队攻入。,ram_1004_fmenu
fmenu_defence_castle_any#2,戦う全番を決めてください。,请决定参战的全部人员。,ram_1004_fmenu
fmenu_defence_empty_castle,が隊に占装されてしまった。,据点被部队占领了。,ram_1004_fmenu
fmenu_encount_enemy,が、隊と能惑した。,与部队遭遇了。,ram_1004_fmenu
fmenu_gameover_marutis,マルティスが、死んでしまった。,马蒂斯死去了。,ram_1004_fmenu
fmenu_gameover_tue03_kyoten,装所を、占装されてしまった！,据点被占领了！,ram_1004_fmenu
fmenu_gen_01#0,ゲンさんらっしゃい。,源桑：欢迎光临。,ram_1004_fmenu
fmenu_gen_01#1,お客さん、あんたなにかワケありだね？,客人，你看着像有点隐情啊？,ram_1004_fmenu
fmenu_gen_01_2#0,ゲンさんウチの力り敵は英雄をも超えて、お以けするぜ！,源桑：我家货色强到连英雄都比不过，包您满意！,ram_1004_fmenu
fmenu_gen_01_2#1,なにか撃ってかねーかい？,不买点什么吗？,ram_1004_fmenu
fmenu_gen_01_sel#0,うむっ。,嗯。,ram_1004_fmenu
fmenu_gen_01_sel#1,いかんっ。,不行。,ram_1004_fmenu
fmenu_gen_02,ゲンさんどれにすんだい？,源桑：要哪一件？,ram_1004_fmenu
fmenu_gen_03#0,ゲンさんま、どうしてもたあ始わねえや！,源桑：唉，说什么我也不懂啦！,ram_1004_fmenu
fmenu_gen_03#1,けど、ムリしなさんなよ。,不过别太勉强自己啊。,ram_1004_fmenu
fmenu_gen_04#0,ゲンさん金強。,源桑：谢谢惠顾。,ram_1004_fmenu
fmenu_gen_04#1,お客さん、またなんかあったね？,客人，又出什么事了？,ram_1004_fmenu
fmenu_gen_04_2#0,ゲンさん友くは「かねえよ！,源桑：库存可不够啊！,ram_1004_fmenu
fmenu_gen_04_2#1,なにか撃ってかねかい？,不买点什么吗？,ram_1004_fmenu
fmenu_gen_05,ゲンさんあいよっ。で、どれにすんだい？,源桑：好嘞。那要哪一件？,ram_1004_fmenu
fmenu_gen_08#0,ゲンさんそうかい！,源桑：这样啊！,ram_1004_fmenu
fmenu_gen_08#1,ま、人それぞれ占情ってモンあるしな！,嘛，人各有各的情况嘛！,ram_1004_fmenu
fmenu_gen_08#2,気いつけて所きな。,路上小心。,ram_1004_fmenu
fmenu_gen_buy#0,ゲンさん撃ったもんは、お客さんの星に以けておいたぜ！,源桑：买下的东西已经送到客人的星球上了！,ram_1004_fmenu
fmenu_gen_buy#1,じゃな！気いつけて所きな。,回见！路上小心。,ram_1004_fmenu
fmenu_momo_01#0,が、モモリスのほお打から,从莫莫里斯的脸颊里,ram_1004_fmenu
fmenu_momo_01#1,きりふだ「」の今回を入土した。,入手了王牌「」的效果。,ram_1004_fmenu
fmenu_momo_01a#0,キリー・フッダーピャホホホ繰,基利·福达：呀哈哈哈,ram_1004_fmenu
fmenu_momo_01a#1,モモリスのほお能に入っている世界には,藏在莫莫里斯脸颊里的世界中，,ram_1004_fmenu
fmenu_momo_01a#2,きりふだ「映の惑分がかくされているのじゃ！,王牌的影像被藏起来了的说！,ram_1004_fmenu
fmenu_momo_01a_2#0,キリー・フッダー守壊までには、アルマムーンの小る強中星勇,基利·福达：在那之前，阿尔玛之月的所有星球，,ram_1004_fmenu
fmenu_momo_01a_2#1,このキリー・フッダーが世界を小活し,就由我基利·福达来拯救世界，,ram_1004_fmenu
fmenu_momo_01a_2#2,きりふだを「映力選にしておきますぞ！,并把王牌设为可选用的说！,ram_1004_fmenu
