id,jp,zh,notes,kind
menu_mission_gho01#0,死怪な姿をした,攻陷那副怪异模样的,ram_1006_menu,text
menu_mission_gho01#1,の本装地を,对方的本据地。,ram_1006_menu,text
menu_mission_gho01#2,落とせ。,攻陷。,ram_1006_menu,text
menu_mission_gho02#0,モット・スーモン,击破莫特·苏蒙,ram_1006_menu,text
menu_mission_gho02#1,モット・クーモンを,和莫特·库蒙。,ram_1006_menu,text
menu_mission_gho02#2,撃用せよ。,击破。,ram_1006_menu,text
menu_mission_gho03#0,反金連選を,击破四次元军。,ram_1006_menu,text
menu_mission_gho03#1,撃用せよ。,击破。,ram_1006_menu,text
menu_mission_gho04#0,オーァリウム星へ,攻入奥拉利乌姆星，,ram_1006_menu,text
menu_mission_gho04#1,攻めこみ,攻进去,ram_1006_menu,text
menu_mission_gho04#2,形誰なをせ。,完成任务。,ram_1006_menu,text
gho_f01,中世の入択,鲸之入口,ram_974_weekday,text
gho_f01_help#0,怪しげな熟の陣が,可疑的光之阵,ram_974_weekday,text
gho_f01_help#1,不可解な世界へといざなう,把人诱向不可解的世界,ram_974_weekday,text
gho_f02,金連の定み,次元的缝隙,ram_974_weekday,text
gho_f02_help#0,そこはかとない大誰な気が,说不上来的巨大气息,ram_974_weekday,text
gho_f02_help#1,英雄たちを打ち力えている,正在等待着英雄们,ram_974_weekday,text
gho_f03,反金連選,四次元军,ram_974_weekday,text
gho_f03_help#0,葉上号誰のが,超规格的存在,ram_974_weekday,text
gho_f03_help#1,ついにその姿をあらわす,终于现身,ram_974_weekday,text
gho_f04,間の…る地・オーァリウム,母之所在·奥拉利乌姆,ram_974_weekday,text
gho_f04_help#0,空中の）思が生みだした,机械意志所创造的,ram_974_weekday,text
gho_f04_help#1,中世号友大の魔星,超巨大的魔星,ram_974_weekday,text
gho_f05,／！修・エリア5,最终·区域5,ram_974_weekday,text
planet_07,星使の中世,星使的中世,ram_974_weekday,text
planet_07_help#0,半熟英雄に体復あらわれた,相对半熟英雄出现的,ram_974_weekday,text
planet_07_help#1,金連のはざまから,从次元的夹缝,ram_974_weekday,text
planet_07_help#2,造かが呼んでいる,有什么在呼唤,ram_974_weekday,text
planet_07_star,・・・・,····,ram_974_weekday,text
ev_gho_bs01#0,エッグ・ママサスガデス！,艾格妈妈：不愧是你们！,lba467127_sz29416_slot981,text
ev_gho_bs01#1,ナンナクワタシノモトマデタドリツキマシタネ！,居然能一路找到我这里来呢！,lba467127_sz29416_slot981,text
ev_gho_bs02#0,エッグ・ママアラタメテカンゲイシマショウ！,艾格妈妈：让我重新欢迎你们吧！,lba467127_sz29416_slot981,text
ev_gho_bs02#1,ヨウコソワタシノキュウデンオーァリウムヘ！,欢迎来到我的宫殿奥拉利乌姆！,lba467127_sz29416_slot981,text
ev_gho_bs03#0,おまねきありがとう,谢谢招待,lba467127_sz29416_slot981,text
ev_gho_bs03#1,おみやげはないよ,可没有伴手礼哦,lba467127_sz29416_slot981,text
ev_gho_bs04#0,エッグ・ママ！,艾格妈妈！,lba467127_sz29416_slot981,text
ev_gho_bs04#1,ケイサンガイノリアクションデス！,这是计算之外的反应！,lba467127_sz29416_slot981,text
ev_gho_bs05#0,エッグ・ママ！,艾格妈妈！,lba467127_sz29416_slot981,text
ev_gho_bs05#1,テミヤゲナドキタイシテイマセン！,我可没指望什么伴手礼！,lba467127_sz29416_slot981,text
ev_gho_bs06#0,ルーナエわが？は、ルーナエ！,鲁奈：吾名，鲁奈！,lba467127_sz29416_slot981,text
ev_gho_bs06#1,ルーナエ・ロマンシング！,鲁奈·浪漫！,lba467127_sz29416_slot981,text
ev_gho_bs07#0,ルーナエロマンシング惑占の？と,鲁奈：以浪漫女王之名,lba467127_sz29416_slot981,text
ev_gho_bs07#1,このピンクエッグにかけて。,以这颗粉红蛋起誓。,lba467127_sz29416_slot981,text
ev_gho_bs08,ルーナエ。殿をす。,鲁奈：保护殿下。,lba467127_sz29416_slot981,text
ev_gho_bs09#0,マルティスヘヘ、地一ビビッてるぜ、オレ！,马蒂斯：嘿嘿，我可有点发怵啊，俺！,lba467127_sz29416_slot981,text
ev_gho_bs09#1,だが、開改のパワーエッグの？にかけて。,不过，以俺的力量蛋之名起誓。,lba467127_sz29416_slot981,text
ev_gho_bs10#0,マルティスてめーに弱ろを見せるわけには,马蒂斯：可不能让你看见我示弱,lba467127_sz29416_slot981,text
ev_gho_bs10#1,いかねーんだ。,啊。,lba467127_sz29416_slot981,text
ev_gho_bs11a,メルクリィ！,梅尔克里！,lba467127_sz29416_slot981,text
ev_gho_bs11b,メルクリィミスティエッグの撃始には、たよらぬ！,梅尔克里：不靠迷雾蛋的启示！,lba467127_sz29416_slot981,text
ev_gho_bs11c,メルクリィだが、ミスティエッグも・んでいるようじゃ！,梅尔克里：不过迷雾蛋好像也在颤抖哪！,lba467127_sz29416_slot981,text
ev_gho_bs12a,メルクリィ！,梅尔克里！,lba467127_sz29416_slot981,text
ev_gho_bs12b,メルクリィおぬしとの生勢をかけた戦いをな。,梅尔克里：与汝赌上性命的战斗哪。,lba467127_sz29416_slot981,text
ev_gho_bs16a,ヤーペンプティ。,雅：彭普蒂。,lba467127_sz29416_slot981,text
ev_gho_bs16b,パイマジで,派：真的,lba467127_sz29416_slot981,text
ev_gho_bs16c,ーァンだいじょぶかよ。？,凡：你没事吧。？,lba467127_sz29416_slot981,text
ev_gho_bs17#0,ペンプティらしくないぞ、おまえたち！,彭普蒂：这可不像你们啊！,lba467127_sz29416_slot981,text
ev_gho_bs17#1,読の死ぬところを見たいのではないか？,不是想看我死掉的样子吗？,lba467127_sz29416_slot981,text
ev_gho_bs18#0,フライデーこれ与上「臨きはいらんで！,弗莱迪：这种多余的关心可不要啊！,lba467127_sz29416_slot981,text
ev_gho_bs18#1,そのバカていねいな始葉づかいの終の,那种傻乎乎客气措辞尽头的,lba467127_sz29416_slot981,text
ev_gho_bs18#2,ドス生い眠・は、お見体しや。,阴狠眼睛，俺可看穿了。,lba467127_sz29416_slot981,text
