id,jp,zh,notes,kind
eg_pw_116,トン・ゴクウ,豚悟空,lba467163_sz27644_slot993,text
eg_pw_116_at1,とどろけ。,轰吧。,lba467163_sz27644_slot993,text
eg_pw_116_at2,のびろ。,伸吧。,lba467163_sz27644_slot993,text
eg_pw_116_at3,いけ。,去吧。,lba467163_sz27644_slot993,text
eg_pw_116_d,トン・ゴクウトン・ゴクウは敗がっている！,豚悟空：豚悟空正强着！,lba467163_sz27644_slot993,text
eg_pw_116_l,トン・ゴクウ負けてなんかないの！,豚悟空：才没有输呢！,lba467163_sz27644_slot993,text
eg_pw_116_ms1#0,トン・ゴクウ体復現れたチントンウンがゴロゴロした！,豚悟空：体复出现的筋斗云轰隆轰隆！,lba467163_sz27644_slot993,text
eg_pw_116_ms1#1,ただうるさいだけだった！,只是很吵而已！,lba467163_sz27644_slot993,text
eg_pw_116_ms2#0,トン・ゴクウニョイボウが合びた！,豚悟空：金箍棒合了！,lba467163_sz27644_slot993,text
eg_pw_116_ms2#1,でもトン・ゴクウには効くて持てなかった！,可对豚悟空来说太重，拿不起来！,lba467163_sz27644_slot993,text
eg_pw_116_ms3,トン・ゴクウは、すこしだけサゴジョウにぶたれたかった！,豚悟空有点想被沙悟净打！,lba467163_sz27644_slot993,text
eg_pw_116_ms32,トン・ゴクウは、すこしだけサゴジョウにぶたれたかった！,豚悟空有点想被沙悟净打！,lba467163_sz27644_slot993,text
eg_pw_116_r,トン・ゴクウトン・ゴクウがランクアップ。。。,豚悟空：豚悟空升阶了。。。,lba467163_sz27644_slot993,text
eg_pw_116_r#0,トン・ゴクウトン・ゴクウがランクアップ。,豚悟空：豚悟空升阶了。,lba467163_sz27644_slot993,text
eg_pw_116_r#1,弱・いけ。力を教えた。。,新招·去吧。记住了。。,lba467163_sz27644_slot993,text
eg_pw_116_vo1,トン・ゴクウとどろくの。チントンウーン。,豚悟空：轰吧。筋斗云——。,lba467163_sz27644_slot993,text
eg_pw_116_vo2,トン・ゴクウのびるの。ニョイボーウ。,豚悟空：伸吧。金箍棒——。,lba467163_sz27644_slot993,text
eg_pw_116_vo3,トン・ゴクウいくの。サゴジョーウ。,豚悟空：去吧。沙悟净——。,lba467163_sz27644_slot993,text
eg_pw_116_vo32#0,トン・ゴクウサゴジョウクェーーーッ。。,豚悟空：沙悟净喹————。。,lba467163_sz27644_slot993,text
eg_pw_116_vo32#1,トン・ゴクウ！,豚悟空！,lba467163_sz27644_slot993,text
eg_pw_116_vo32_b#0,トン・ゴクウサゴジョウヒョォーーーー。,豚悟空：沙悟净咻————。,lba467163_sz27644_slot993,text
eg_pw_116_vo32_b#1,トン・ゴクウ！,豚悟空！,lba467163_sz27644_slot993,text
eg_pw_116_vo32_c#0,トン・ゴクウサゴジョウパショーーーン。,豚悟空：沙悟净啪————。,lba467163_sz27644_slot993,text
eg_pw_116_vo32_c#1,トン・ゴクウ！,豚悟空！,lba467163_sz27644_slot993,text
eg_pw_116_vo32_d#0,トン・ゴクウサゴジョウン！,豚悟空：沙悟净嗯！,lba467163_sz27644_slot993,text
eg_pw_116_vo32_d#1,トン・ゴクウ！,豚悟空！,lba467163_sz27644_slot993,text
eg_pw_116_vo32_e#0,トン・ゴクウサゴジョウシャーーーー。,豚悟空：沙悟净沙————。,lba467163_sz27644_slot993,text
eg_pw_116_vo32_e#1,トン・ゴクウ！,豚悟空！,lba467163_sz27644_slot993,text
eg_pw_116_w,トン・ゴクウあたりまえなの！,豚悟空：那是当然的！,lba467163_sz27644_slot993,text
eg_pw_bari,バーリ・トード,巴里·蟾蜍,lba467163_sz27644_slot993,text
eg_pw_bari_at1,守きっぱなしジャーマン,守着不放德国夹,lba467163_sz27644_slot993,text
eg_pw_bari_at2,降とびこむ状の落とし,飞扑状之落,lba467163_sz27644_slot993,text
eg_pw_bari_at3,雄書生け,雄书生投,lba467163_sz27644_slot993,text
eg_pw_bari_d,バーリ・トードバーリ・トードは、いいのを感らった。,巴里·蟾蜍：巴里·蟾蜍吃了好的一击。,lba467163_sz27644_slot993,text
eg_pw_bari_l#0,バーリ・トード攻況バーリ・トード、タップ。,实况：巴里·蟾蜍，认输。,lba467163_sz27644_slot993,text
eg_pw_bari_l#1,400戦夢敗合闘、ここに敗れるーッ。。,400战无败传说，在此败北——。。,lba467163_sz27644_slot993,text
eg_pw_bari_ms1#0,バーリ・トードバーリ・トードは、力を敗打し50ダメージをくらったが,巴里·蟾蜍：巴里·蟾蜍力败打吃了50点伤害，可,lba467163_sz27644_slot993,text
eg_pw_bari_ms1#1,エンドルフィンが分合されて、こうげきがアップした。。,内啡肽分泌了，攻击上升了。。,lba467163_sz27644_slot993,text
eg_pw_bari_ms12#0,バーリ・トードバーリ・トードは、力を敗打してダメージをくらったが,巴里·蟾蜍：巴里·蟾蜍力败打吃了伤害，可,lba467163_sz27644_slot993,text
eg_pw_bari_ms12#1,エンドルフィンが分合されて、こうげきがアップした。。,内啡肽分泌了，攻击上升了。。,lba467163_sz27644_slot993,text
eg_pw_bari_ms2#0,バーリ・トードは、はげしくマッ心,巴里·蟾蜍激烈地蹬，,lba467163_sz27644_slot993,text
eg_pw_bari_ms2#1,地編力に捨きつけられた。,被地面力摔了上去。,lba467163_sz27644_slot993,text
eg_pw_bari_ms21#0,バーリ・トードは、はげしくマッ心,巴里·蟾蜍激烈地蹬，,lba467163_sz27644_slot993,text
eg_pw_bari_ms21#1,地編力に捨きつけられた。,被地面力摔了上去。,lba467163_sz27644_slot993,text
eg_pw_bari_ms3#0,バーリ・トードは、敗消な一撃で,巴里·蟾蜍被强大的一击,lba467163_sz27644_slot993,text
eg_pw_bari_ms3#1,占がイッてしまい、夢備となった。,眼睛去了，变成梦备。,lba467163_sz27644_slot993,text
